,Unnamed: 0,accession_number,year,r,g,b,hex,value
4227,4227,D36503,1794,230,216,194,#e6d8c2,1050
640,640,D00352,1794,230,217,191,#e6d9bf,1065
4228,4228,D36504,1794,230,217,194,#e6d9c2,1080
4215,4215,D36491,1794,230,218,196,#e6dac4,1095
4216,4216,D36492,1794,230,218,196,#e6dac4,1110
4224,4224,D36500,1794,231,218,195,#e7dac3,1125
4212,4212,D36488,1794,231,218,196,#e7dac4,1140
4221,4221,D36497,1794,231,218,196,#e7dac4,1155
4232,4232,D36508,1794,231,218,196,#e7dac4,1170
4217,4217,D36493,1794,231,219,197,#e7dbc5,1185
4211,4211,D36487,1794,231,219,198,#e7dbc6,1200
4219,4219,D36495,1794,231,220,198,#e7dcc6,1215
4337,4337,D40051,1794,231,223,201,#e7dfc9,1230
4139,4139,D36415,1794,233,223,205,#e9dfcd,1245
4138,4138,D36414,1794,233,224,208,#e9e0d0,1260
4144,4144,D36420,1794,234,224,205,#eae0cd,1275
4186,4186,D36462,1794,234,224,206,#eae0ce,1290
4156,4156,D36432,1794,234,225,209,#eae1d1,1305
4157,4157,D36433,1794,234,226,211,#eae2d3,1320
4163,4163,D36439,1794,235,224,204,#ebe0cc,1335
4143,4143,D36419,1794,235,224,206,#ebe0ce,1350
4140,4140,D36416,1794,235,225,207,#ebe1cf,1365
4188,4188,D36464,1794,235,225,207,#ebe1cf,1380
4141,4141,D36417,1794,235,226,208,#ebe2d0,1395
4154,4154,D36430,1794,235,226,209,#ebe2d1,1410
4149,4149,D36425,1794,235,227,212,#ebe3d4,1425
4171,4171,D36447,1794,236,226,208,#ece2d0,1440
4172,4172,D36448,1794,236,226,208,#ece2d0,1455
4184,4184,D36460,1794,236,226,209,#ece2d1,1470
4195,4195,D36471,1794,236,227,209,#ece3d1,1485
4158,4158,D36434,1794,236,227,210,#ece3d2,1500
4178,4178,D36454,1794,236,227,210,#ece3d2,1515
4161,4161,D36437,1794,236,227,211,#ece3d3,1530
4180,4180,D36456,1794,236,227,211,#ece3d3,1545
4175,4175,D36451,1794,236,227,212,#ece3d4,1560
4166,4166,D36442,1794,236,228,210,#ece4d2,1575
4142,4142,D36418,1794,236,228,211,#ece4d3,1590
4185,4185,D36461,1794,237,227,209,#ede3d1,1605
4146,4146,D36422,1794,237,227,211,#ede3d3,1620
4162,4162,D36438,1794,237,228,214,#ede4d6,1635
4152,4152,D36428,1794,237,229,215,#ede5d7,1650
4159,4159,D36435,1794,238,230,216,#eee6d8,1665
4164,4164,D36440,1794,238,230,216,#eee6d8,1680
687,687,D00699,1794,244,238,221,#f4eedd,1695
725,725,D00856,1795,52,45,34,#342d22,15
4255,4255,D36544,1795,54,54,49,#363631,30
4251,4251,D36540,1795,64,67,60,#40433c,45
709,709,D00729,1795,69,54,38,#453626,60
4935,4935,N05059,1795,69,74,79,#454a4f,75
4938,4938,N05062,1795,73,75,77,#494b4d,90
4932,4932,N05056,1795,83,82,81,#535251,105
4934,4934,N05058,1795,85,84,82,#555452,120
4931,4931,N05055,1795,86,76,70,#564c46,135
5539,5539,T07213,1795,101,89,72,#655948,150
4696,4696,N03373,1795,107,99,89,#6b6359,165
4937,4937,N05061,1795,107,101,96,#6b6560,180
692,692,D00705,1795,108,97,75,#6c614b,195
5244,5244,T01013,1795,109,99,74,#6d634a,210
679,679,D00689,1795,117,106,88,#756a58,225
764,764,D00897,1795,118,108,83,#766c53,240
5084,5084,N05875,1795,125,11,5,#7d0b05,255
4936,4936,N05060,1795,131,116,105,#837469,270
4697,4697,N03374,1795,133,121,111,#85796f,285
4933,4933,N05057,1795,133,129,126,#85817e,300
929,929,D01878,1795,134,112,83,#867053,315
656,656,D00582,1795,139,126,99,#8b7e63,330
689,689,D00702,1795,146,126,94,#927e5e,345
6360,6360,T09419,1795,148,140,127,#948c7f,360
691,691,D00704,1795,161,140,103,#a18c67,375
676,676,D00686,1795,165,160,148,#a5a094,390
5706,5706,T08210,1795,176,165,147,#b0a593,405
635,635,D00188,1795,182,161,126,#b6a17e,420
731,731,D00862,1795,182,168,147,#b6a893,435
668,668,D00677,1795,183,173,149,#b7ad95,450
4236,4236,D36525,1795,184,177,153,#b8b199,465
4239,4239,D36528,1795,185,171,147,#b9ab93,480
737,737,D00868,1795,187,168,135,#bba887,495
667,667,D00676,1795,189,180,157,#bdb49d,510
4244,4244,D36533,1795,190,183,160,#beb7a0,525
678,678,D00688,1795,195,184,161,#c3b8a1,540
4225,4225,D36501,1795,198,186,160,#c6baa0,555
685,685,D00697,1795,199,175,136,#c7af88,570
4241,4241,D36530,1795,199,192,169,#c7c0a9,585
666,666,D00675,1795,200,181,150,#c8b596,600
4295,4295,D36626,1795,200,188,162,#c8bca2,615
738,738,D00869,1795,201,190,164,#c9bea4,630
708,708,D00726,1795,202,193,169,#cac1a9,645
4290,4290,D36621,1795,203,195,176,#cbc3b0,660
4254,4254,D36543,1795,203,200,177,#cbc8b1,675
4289,4289,D36620,1795,204,193,173,#ccc1ad,690
4288,4288,D36619,1795,204,195,176,#ccc3b0,705
4292,4292,D36623,1795,204,197,179,#ccc5b3,720
4273,4273,D36562,1795,204,200,184,#ccc8b8,735
4291,4291,D36622,1795,208,202,185,#d0cab9,750
5822,5822,T08481,1795,213,198,173,#d5c6ad,765
4285,4285,D36616,1795,213,202,179,#d5cab3,780
5533,5533,T07011,1795,213,207,200,#d5cfc8,795
4268,4268,D36557,1795,215,211,193,#d7d3c1,810
677,677,D00687,1795,216,203,181,#d8cbb5,825
4246,4246,D36535,1795,217,204,182,#d9ccb6,840
4293,4293,D36624,1795,218,207,187,#dacfbb,855
4287,4287,D36618,1795,220,211,190,#dcd3be,870
4286,4286,D36617,1795,224,208,173,#e0d0ad,885
660,660,D00669,1795,227,221,205,#e3ddcd,900
673,673,D00683,1795,228,218,199,#e4dac7,915
4939,4939,N05063,1795,234,219,198,#eadbc6,930
4242,4242,D36531,1795,234,225,207,#eae1cf,945
686,686,D00698,1796,35,28,23,#231c17,15
880,880,D01219,1796,45,37,32,#2d2520,30
888,888,D01227,1796,53,47,41,#352f29,45
816,816,D01151,1796,57,46,39,#392e27,60
794,794,D01127,1796,58,47,40,#3a2f28,75
753,753,D00885,1796,58,56,43,#3a382b,90
881,881,D01220,1796,59,51,46,#3b332e,105
807,807,D01142,1796,60,51,42,#3c332a,120
