,year,accession_number,hex,value_x,hex0,hex1,hex2,value_y
217,1789,D00046,#cec8b0,165,#e1ddc8,#b6aa8f,#75684f,150
218,1789,T08454,#d9cbaf,180,#e5d7be,#bdad8b,#231e17,180
219,1789,D00014,#ded5bd,195,#e7dec6,#b6a588,#d0c4a6,195
220,1789,T08455,#dfd0b7,210,#e4d5bc,#c5b397,#d2c1a7,165
221,1789,D00031,#e8e0cd,225,#ede6d3,#b2a791,#252119,210
222,1789,D00019,#e8e2cf,240,#ede7d5,#b2a994,#28231a,225
223,1789,D40738,#efe7d3,255,#f0e9d4,#241f17,#b4a187,240
224,1789,T08234,#efe8dc,270,#f0e9de,#9b9389,#7a7269,255
225,1789,D40740,#f0ead7,285,#f2ecd9,#232018,#b5a587,270
226,1789,D00026,#f1ebd8,300,#f2ecd9,#26221a,#b0a184,285
227,1789,D00039,#f1ecdb,315,#f2eddc,#232019,#1d2024,300
228,1789,D40739,#f5edda,330,#f5eedb,#25211a,#1e2024,330
229,1789,D00013,#f5eedb,345,#f5efdc,#28241b,#bbab8f,345
230,1789,D00017,#f5eedd,360,#f5efde,#29251c,#212428,360
231,1789,D00012,#f6efdd,375,#f6efdd,#29221a,#72604c,375
232,1790,D00187,#362920,15,#2f231b,#725843,#efeadc,15
233,1790,T08129,#8e867c,30,#a29a90,#6c645a,#ded7cc,45
234,1790,N05192,#928674,45,#a69986,#7d7161,#e7e1d4,60
235,1790,N02233,#95947d,60,#ada88d,#f8f8f5,#4f594f,105
236,1790,D00896,#9c8b69,75,#a79675,#766643,#2d2817,75
237,1790,T00984,#9c9075,90,#a19478,#6b6959,#323128,30
238,1790,D00115,#bbaf8e,105,#b2a684,#716445,#ddd5b8,120
239,1790,T08886,#c0b092,120,#b3a385,#d3c4a3,#dfd5c2,135
240,1790,T10067,#c9c2ae,135,#aba38d,#6f6554,#e8e2d1,90
241,1790,T01231,#cdc4b3,150,#e3dbca,#aca190,#736859,150
242,1790,T07879,#d4d0bd,165,#e5e0cd,#a7a492,#756f5d,165
243,1791,D00083,#272727,15,#eae2d2,#242629,#b5a58b,405
244,1791,D00102,#282727,30,#ece2d0,#242529,#2a2621,435
245,1791,D00088,#282827,45,#efe7d9,#292723,#252629,465
246,1791,D00074,#292928,60,#ecdec8,#292723,#b9a990,420
247,1791,D00079,#2a2b2a,75,#f2ecdf,#26282c,#2b2824,510
248,1791,D40735,#2c2c2a,90,#f2ebdc,#26272b,#2b2924,495
249,1791,D00080,#2c2c2c,105,#f3ecdf,#28282c,#272b28,525
250,1791,D00097,#2d2c27,120,#ece2d0,#2a2722,#b9aa92,450
251,1791,D00087,#2e2d2a,135,#f2e9d7,#2a2926,#b0a48d,480
252,1791,D00096,#444335,150,#676249,#ada386,#2b2a21,30
253,1791,D00111,#4f4a37,165,#6b6349,#322d20,#aba486,75
254,1791,D00107,#5a594d,180,#afa78a,#645f4d,#ddd3b9,180
255,1791,D00112,#5c513b,195,#6a5e44,#352f22,#4b422d,60
256,1791,D00110,#635440,210,#6c5c45,#33291d,#a99c82,90
257,1791,D00114,#6d725e,225,#696249,#aba88e,#54675b,45
258,1791,D00055,#81715c,240,#7c6c58,#eae6d8,#3d362d,105
259,1791,D00109,#8f8b71,255,#ada58a,#6a654c,#eee5d1,165
260,1791,D00108,#9a9581,270,#aca893,#6e614c,#9aa597,150
261,1791,D00086,#9c947e,285,#aba18a,#68624f,#302f27,135
262,1791,D00069,#9e8c77,300,#a5937d,#82715d,#f7f2e5,120
263,1791,D00005,#b09f7b,315,#b5a37f,#1c1e20,#736349,225
264,1791,D00186,#b8b394,330,#b2ae8e,#cbc5a8,#6e6d4f,210
265,1791,D00105,#bdb397,345,#b0a58a,#dfd1b2,#70654f,195
266,1791,D00113,#c3b798,360,#b7a98b,#7a684b,#d0c5a6,240
267,1791,D41454,#cbbea3,375,#bcad8f,#d0c2a6,#e6dfce,255
268,1791,D00081,#ccc3b2,390,#e1d8c4,#b2a798,#232428,315
269,1791,D40229,#ccc5aa,405,#d9cfb3,#cec5a8,#b6b399,285
270,1791,D00184,#cec5a9,420,#e3d8bc,#b0a88c,#6f674d,345
271,1791,D40266,#cfc2a3,435,#1e1f22,#d1c4a5,#d8ccaf,15
272,1791,T10440,#cfc6b4,450,#e0d7c5,#b3aa97,#6e6456,300
273,1791,D40030,#d6c4a3,465,#d4c3a2,#e5d9c0,#c7ad81,270
274,1791,D00106,#e1d1b2,480,#e5d5b5,#31302d,#d3c4a4,360
275,1791,D40228,#e1d6b8,495,#e3d8bb,#d1c6a5,#bcb294,330
276,1791,D40736,#e5d5bc,510,#e7d8bf,#211f1b,#c1b194,375
277,1791,D00082,#e5ddcb,525,#e7e0cf,#232528,#b8a88b,390
278,1791,D40734,#f6eede,540,#f6eede,#312e28,#2d2e32,540
279,1792,T08572,#4c3e2f,15,#392d22,#695844,#b4a388,15
280,1792,D00054,#736452,30,#6e5f4e,#f1ecdf,#9b8972,45
281,1792,T00547,#7a6c59,45,#6c6153,#ab987b,#322b32,30
282,1792,D00122,#7f6652,60,#785f4b,#a79179,#442b1e,60
283,1792,D00057,#938067,75,#a49074,#7b6a52,#ece6d7,75
284,1792,D00392,#938f7a,90,#a8a28a,#736f5d,#e8e1cd,120
285,1792,D00389,#958b75,105,#a99d85,#645c4c,#3c3429,135
286,1792,D00121,#978a6e,120,#b1a485,#75674f,#d0c4a2,255
287,1792,D00391,#999077,135,#a8a086,#71634b,#3b2d1e,105
288,1792,D00176,#a38f72,150,#af9b7e,#7f6b50,#d4cdb8,210
289,1792,D00145,#a39a81,165,#b0a68c,#6e6751,#e4ddc9,225
290,1792,T00986,#a49470,180,#ab9b78,#766647,#958460,165
291,1792,D00192,#a49d83,195,#aea68c,#696851,#252518,195
292,1792,D00155,#a8a086,210,#b0aa90,#70634c,#efebdb,240
293,1792,D00394,#a9a188,225,#a7a087,#e9e3d3,#7f6e55,90
294,1792,D00193,#aca086,240,#b2a68b,#756b53,#13161a,270
295,1792,D00144,#afa381,255,#b6a987,#766c4d,#d4c29e,300
296,1792,D00694,#b1a898,270,#aca493,#dcd5c8,#746a58,180
297,1792,D00396,#b1ad95,285,#b4af95,#e5ddc8,#ccc4a9,285
298,1792,D00390,#b5b5a2,300,#a9aa97,#d7ceb6,#98a496,150
299,1792,D00161,#b8ac8e,315,#b9ad90,#72654a,#cfc2a4,330
300,1792,D40231,#b9b196,330,#b9b195,#1b1812,#14151a,345
301,1792,D00140,#c2bda7,345,#b8b39d,#c8c3ae,#e4dfcc,315
302,1792,D00061,#c4bea8,360,#bab49d,#cac4ad,#cfc9b4,360
303,1792,D40052,#d2c1a1,375,#e1d3ba,#d4c3a2,#c6b291,450
304,1792,D00379,#d2d0bf,390,#dedbca,#b3b4a3,#c4c5b2,390
305,1792,D00156,#d3d2bf,405,#dedcca,#aaa28b,#7d715b,405
306,1792,T09417,#dbd4c4,420,#e1dbcb,#afa695,#c9c2b0,480
307,1792,D00185,#dcd5c1,435,#e0d7c4,#bab6a3,#c8c4b0,435
308,1792,D41453,#ddd3ba,450,#ded4bb,#d1c5a7,#b6a08a,375
309,1792,D40334,#ddd3bd,465,#e1d8c5,#c3ae8b,#d2c2a4,465
310,1792,D40245,#e0d9c4,480,#dfd8c4,#202327,#25241e,420
311,1793,N05898,#3b2b1e,15,#3b2a1d,#694d2d,#554023,15
312,1793,D00067,#665a4a,30,#6b5f4d,#322d25,#918068,30
313,1793,D40218,#7a6953,45,#786752,#121318,#231d16,60
314,1793,T01003,#87775c,60,#71624b,#b19e7e,#33291d,45
315,1793,D00160,#89816a,75,#a2987f,#78705a,#8b836c,90
316,1793,D00376,#93896b,90,#aea180,#6d674d,#8f8465,120
317,1793,D00406,#9e8d6f,105,#b09e7e,#7d6d53,#938264,135
318,1793,D00685,#aeb19e,120,#9dad9f,#aca893,#e2ddc8,75
319,1793,D40269,#bab6a7,135,#b7b1a1,#c1c2b5,#96a9a2,150
320,1793,D00169,#beb59e,150,#ada893,#e3d9c4,#6b6e61,105
321,1793,D00388,#caba9f,165,#baab90,#6f5c43,#d8c8ad,165
322,1793,D40038,#e3ddca,180,#e3ddc9,#b6ac9a,#cdc5ae,180
323,1793,D00712,#e6dec8,195,#e5ddc8,#cca87b,#dac29b,195
324,1793,D00399,#ebe6d5,210,#ebe5d4,#b7a68f,#ccc2ae,225
325,1793,D00723,#ece0cd,225,#ebdfcc,#d3c2a6,#c7b69d,210
326,1794,D36443,#252321,15,#e9e0ce,#211f1c,#b1ab9b,495
327,1794,D36444,#252321,30,#eadfcd,#211f1c,#aea292,645
328,1794,D36466,#252322,45,#ebe2d1,#211f1d,#afa797,765
329,1794,D36467,#252322,60,#ebe4d3,#22201d,#afa896,795
330,1794,D36473,#252322,75,#ede4d3,#22201e,#202023,1050
331,1794,D36423,#262322,90,#eee6d6,#b4a794,#22201e,1320
332,1794,D36445,#262322,105,#ede3d1,#23201d,#b1a28c,915
333,1794,D36431,#262422,120,#eee5d3,#22201d,#b5a894,1170
334,1794,D36441,#262423,135,#eee4d2,#22201d,#b1a690,1095
335,1794,D36446,#262423,150,#eee6d6,#23201e,#afa797,1290
336,1794,D36453,#262423,165,#efe7d7,#23211e,#b1a594,1455
337,1794,D36469,#262423,180,#ede4d2,#22201d,#ada390,1005
338,1794,D36475,#262423,195,#efe6d5,#23211f,#202023,1380
339,1794,D36424,#262424,210,#f1e9da,#b2a795,#24221f,1680
340,1794,D36465,#262523,225,#ece4d3,#a9a496,#211f1d,885
341,1794,D36474,#262524,240,#eee6d4,#22211f,#212124,1275
342,1794,D36477,#262524,255,#ede4d2,#23211f,#202023,1035
343,1794,D36421,#272524,270,#f0e7d8,#23211f,#b7ac9a,1545
344,1794,D36429,#272524,285,#efe8db,#afa391,#23201e,1500
345,1794,D36457,#272524,300,#efe6d5,#ada191,#211f1d,1425
346,1794,D36459,#272524,315,#f0e7d9,#22201e,#b1a795,1560
347,1794,D36476,#272524,330,#ede4d2,#22211f,#ada491,1020
348,1794,D36450,#282624,345,#ede4d2,#211f1d,#ac9e89,990
349,1794,D36452,#282624,360,#f0e8d8,#b2a48d,#23211e,1590
350,1794,D36436,#282625,375,#f0e8d9,#21201d,#aba08e,1605
351,1794,D36472,#282625,390,#efe6d5,#22201d,#212124,1365
352,1794,D36427,#292625,405,#efe7da,#b3a795,#23201e,1485
353,1794,D36463,#292725,420,#ece3d2,#aaa495,#201f1c,855
354,1794,D36470,#292725,435,#eee5d3,#22201e,#b1a48f,1185
355,1794,D36426,#292726,450,#f0e9db,#aea392,#23211f,1665
356,1794,D36458,#292726,465,#f0e7d6,#22201e,#ada18f,1515
357,1794,D36449,#2a2825,480,#ece2cf,#211f1c,#aca18d,825
