,accession_number,year,r,g,b,hex,value
5620,T08096,1823,227,219,199,#e3dbc7,1
5621,T08097,1823,231,224,206,#e7e0ce,1
5622,T08098,1823,227,215,192,#e3d7c0,1
5623,T08099,1823,229,222,202,#e5deca,1
5624,T08100,1823,228,221,200,#e4ddc8,1
5625,T08101,1823,224,216,195,#e0d8c3,1
5626,T08102,1823,224,216,195,#e0d8c3,1
5627,T08103,1823,211,201,179,#d3c9b3,1
5628,T08104,1823,220,212,191,#dcd4bf,1
5629,T08105,1823,214,204,182,#d6ccb6,1
5630,T08106,1823,218,210,189,#dad2bd,1
5631,T08107,1823,218,209,188,#dad1bc,1
5632,T08108,1823,205,194,171,#cdc2ab,1
5633,T08109,1823,216,206,182,#d8ceb6,1
5634,T08112,1798,203,198,172,#cbc6ac,1
5635,T08113,1785,120,100,72,#786448,1
5636,T08114,1770,224,207,185,#e0cfb9,1
5637,T08115,1783,219,213,200,#dbd5c8,1
5638,T08116,1770,226,216,200,#e2d8c8,1
5639,T08117,1746,183,171,154,#b7ab9a,1
5640,T08118,1713,192,160,126,#c0a07e,1
5641,T08119,1767,222,210,191,#ded2bf,1
5642,T08120,1803,217,206,192,#d9cec0,1
5643,T08121,1803,220,210,198,#dcd2c6,1
5644,T08122,,142,127,109,#8e7f6d,1
5645,T08123,1806,228,219,204,#e4dbcc,1
5646,T08124,1771,213,199,174,#d5c7ae,1
5647,T08125,1748,159,140,111,#9f8c6f,1
5648,T08126,1803,213,202,182,#d5cab6,1
5649,T08127,1770,164,147,127,#a4937f,1
5650,T08128,1825,246,236,220,#f6ecdc,1
5651,T08129,1790,142,134,124,#8e867c,1
5652,T08130,1783,204,196,180,#ccc4b4,1
5653,T08133,1805,185,178,163,#b9b2a3,1
5654,T08134,,177,160,129,#b1a081,1
5655,T08135,,133,109,82,#856d52,1
5656,T08137,1759,207,196,178,#cfc4b2,1
5657,T08138,1803,161,151,127,#a1977f,1
5658,T08139,1824,226,215,200,#e2d7c8,1
5659,T08140,1770,207,194,173,#cfc2ad,1
5660,T08141,1777,68,67,54,#444336,1
5661,T08143,1715,208,189,163,#d0bda3,1
5662,T08144,1785,221,208,187,#ddd0bb,1
5663,T08145,1805,74,62,47,#4a3e2f,1
5664,T08146,1826,194,188,170,#c2bcaa,1
5665,T08147,1781,149,155,139,#959b8b,1
5666,T08149,1809,234,225,206,#eae1ce,1
5667,T08166,1833,180,170,149,#b4aa95,1
5668,T08167,,214,207,187,#d6cfbb,1
5669,T08168,,199,180,147,#c7b493,1
5670,T08169,,99,85,60,#63553c,1
5671,T08171,,183,168,139,#b7a88b,1
5672,T08172,1807,124,123,109,#7c7b6d,1
5673,T08173,1834,81,54,35,#513623,1
5674,T08175,1810,157,141,104,#9d8d68,1
5675,T08176,,91,66,46,#5b422e,1
5676,T08177,,197,176,142,#c5b08e,1
5677,T08178,,105,88,67,#695843,1
5678,T08179,,158,142,113,#9e8e71,1
5679,T08180,,167,138,109,#a78a6d,1
5680,T08181,,152,142,113,#988e71,1
5681,T08182,,112,92,64,#705c40,1
5682,T08183,1841,206,194,174,#cec2ae,1
5683,T08184,1781,84,70,59,#54463b,1
5684,T08185,,216,204,181,#d8ccb5,1
5685,T08186,1757,185,168,137,#b9a889,1
5686,T08187,1781,194,179,156,#c2b39c,1
5687,T08188,1781,108,90,73,#6c5a49,1
5688,T08189,1778,169,158,137,#a99e89,1
5689,T08190,,184,171,148,#b8ab94,1
5690,T08191,,225,208,181,#e1d0b5,1
5691,T08192,,91,70,53,#5b4635,1
5692,T08193,,209,201,182,#d1c9b6,1
5693,T08194,1809,94,78,57,#5e4e39,1
5694,T08195,1786,215,214,199,#d7d6c7,1
5695,T08196,,192,180,154,#c0b49a,1
5696,T08198,,86,59,37,#563b25,1
5697,T08199,,73,58,44,#493a2c,1
5698,T08200,,221,211,191,#ddd3bf,1
5699,T08201,,196,173,148,#c4ad94,1
5700,T08202,1802,178,175,147,#b2af93,1
5701,T08203,,213,201,175,#d5c9af,1
5702,T08205,,130,130,112,#828270,1
5703,T08206,,203,187,157,#cbbb9d,1
5704,T08207,,204,198,173,#ccc6ad,1
5705,T08209,1766,213,201,174,#d5c9ae,1
5706,T08210,1795,176,165,147,#b0a593,1
5707,T08213,,62,40,27,#3e281b,1
5708,T08214,,214,199,170,#d6c7aa,1
5709,T08215,,226,213,190,#e2d5be,1
5710,T08216,,191,165,129,#bfa581,1
5711,T08217,,215,193,158,#d7c19e,1
5712,T08218,,208,192,160,#d0c0a0,1
5713,T08220,,151,108,78,#976c4e,1
5714,T08221,1839,121,123,118,#797b76,1
5715,T08222,1839,110,104,92,#6e685c,1
5716,T08223,1839,142,135,122,#8e877a,1
5717,T08226,,225,202,164,#e1caa4,1
5718,T08227,,142,120,99,#8e7863,1
5719,T08228,,181,142,113,#b58e71,1
5720,T08230,,206,191,164,#cebfa4,1
5721,T08231,1776,212,198,174,#d4c6ae,1
5722,T08232,,229,219,196,#e5dbc4,1
5723,T08234,1789,239,232,220,#efe8dc,1
5724,T08236,1800,209,196,167,#d1c4a7,1
5725,T08237,1801,74,58,39,#4a3a27,1
5726,T08240,1770,139,99,58,#8b633a,1
5727,T08245,1802,104,87,59,#68573b,1
5728,T08248,1803,169,149,118,#a99576,1
5729,T08249,1806,168,161,142,#a8a18e,1
5730,T08250,1781,100,104,83,#646853,1
5731,T08251,,238,229,210,#eee5d2,1
5732,T08252,,166,149,125,#a6957d,1
5733,T08253,,195,186,168,#c3baa8,1
5734,T08254,1757,81,69,51,#514533,1
5735,T08255,,208,201,180,#d0c9b4,1
5736,T08256,1740,125,87,54,#7d5736,1
5737,T08258,,101,96,69,#656045,1
5738,T08261,,203,198,179,#cbc6b3,1
5739,T08262,1786,104,93,76,#685d4c,1
5740,T08263,1783,210,195,163,#d2c3a3,1
5741,T08264,1783,210,196,164,#d2c4a4,1
5742,T08265,1783,203,192,170,#cbc0aa,1
5743,T08266,1786,199,188,165,#c7bca5,1
5744,T08267,,181,164,129,#b5a481,1
5745,T08268,1811,170,147,116,#aa9374,1
5746,T08269,1787,228,221,194,#e4ddc2,1
5747,T08270,1753,123,117,101,#7b7565,1
5748,T08271,1829,207,190,167,#cfbea7,1
5749,T08272,1850,209,187,159,#d1bb9f,1
5750,T08273,,228,217,199,#e4d9c7,1
5751,T08274,1728,237,223,204,#eddfcc,1
5752,T08275,1750,214,199,173,#d6c7ad,1
5753,T08276,1770,184,170,146,#b8aa92,1
5754,T08278,1771,120,108,89,#786c59,1
5755,T08279,,229,220,205,#e5dccd,1
5756,T08280,,234,224,207,#eae0cf,1
5757,T08281,,224,214,198,#e0d6c6,1
5758,T08282,,218,210,195,#dad2c3,1
5759,T08284,,198,177,152,#c6b198,1
5760,T08293,,200,190,169,#c8bea9,1
5761,T08295,,170,152,132,#aa9884,1
5762,T08300,,208,197,177,#d0c5b1,1
5763,T08303,,216,208,194,#d8d0c2,1
5764,T08305,,234,227,218,#eae3da,1
5765,T08309,,196,184,167,#c4b8a7,1
5766,T08314,,204,195,178,#ccc3b2,1
5767,T08316,,229,218,201,#e5dac9,1
5768,T08317,,219,212,194,#dbd4c2,1
5769,T08320,,233,226,216,#e9e2d8,1
5770,T08325,,212,204,187,#d4ccbb,1
5771,T08326,,220,209,193,#dcd1c1,1
5772,T08327,,190,174,152,#beae98,1
5773,T08330,,215,202,184,#d7cab8,1
5774,T08338,,221,215,204,#ddd7cc,1
5775,T08341,,213,205,191,#d5cdbf,1
5776,T08350,,243,236,223,#f3ecdf,1
5777,T08351,,232,225,211,#e8e1d3,1
5778,T08352,,238,230,212,#eee6d4,1
5779,T08358,,236,229,214,#ece5d6,1
5780,T08359,,229,218,198,#e5dac6,1
5781,T08360,,233,224,204,#e9e0cc,1
5782,T08379,,240,231,214,#f0e7d6,1
5783,T08385,,229,221,203,#e5ddcb,1
5784,T08386,,216,206,188,#d8cebc,1
5785,T08394,,218,203,184,#dacbb8,1
5786,T08395,,216,201,179,#d8c9b3,1
5787,T08397,,222,211,191,#ded3bf,1
5788,T08399,,207,204,193,#cfccc1,1
5789,T08404,,220,210,192,#dcd2c0,1
5790,T08411,,224,216,198,#e0d8c6,1
5791,T08415,,209,202,189,#d1cabd,1
5792,T08419,,192,177,155,#c0b19b,1
5793,T08433,,85,75,64,#554b40,1
5794,T08434,,208,201,183,#d0c9b7,1
5795,T08441,,95,83,68,#5f5344,1
5796,T08443,,187,172,147,#bbac93,1
5797,T08444,,64,49,40,#403128,1
5798,T08445,,115,96,73,#736049,1
5799,T08447,1789,189,172,142,#bdac8e,1
5800,T08448,1789,205,190,164,#cdbea4,1
5801,T08449,1789,193,178,154,#c1b29a,1
5802,T08454,1789,217,203,175,#d9cbaf,1
5803,T08455,1789,223,208,183,#dfd0b7,1
5804,T08461,1770,192,177,148,#c0b194,1
5805,T08462,1807,236,224,204,#ece0cc,1
5806,T08463,1816,210,197,169,#d2c5a9,1
5807,T08464,,161,140,113,#a18c71,1
5808,T08465,,203,192,170,#cbc0aa,1
5809,T08466,,219,201,173,#dbc9ad,1
5810,T08467,,194,168,137,#c2a889,1
5811,T08468,1810,221,209,187,#ddd1bb,1
5812,T08469,1788,181,165,143,#b5a58f,1
5813,T08470,1803,224,216,200,#e0d8c8,1
5814,T08473,1755,113,92,70,#715c46,1
5815,T08474,1785,136,112,78,#88704e,1
5816,T08475,,237,230,211,#ede6d3,1
5817,T08476,,208,188,165,#d0bca5,1
5818,T08477,1760,205,185,163,#cdb9a3,1
5819,T08478,,206,190,157,#cebe9d,1
5820,T08479,,238,226,193,#eee2c1,1
5821,T08480,,224,221,201,#e0ddc9,1
5822,T08481,1795,213,198,173,#d5c6ad,1
5823,T08483,1800,221,205,183,#ddcdb7,1
5824,T08484,,70,68,50,#464432,1
5825,T08485,,228,225,198,#e4e1c6,1
5826,T08486,1777,221,214,197,#ddd6c5,1
5827,T08487,,211,203,182,#d3cbb6,1
5828,T08488,1778,90,69,51,#5a4533,1
5829,T08489,1778,187,182,162,#bbb6a2,1
5830,T08490,1778,106,83,59,#6a533b,1
5831,T08491,1778,198,195,177,#c6c3b1,1
5832,T08492,1778,108,92,68,#6c5c44,1
5833,T08493,1778,89,75,56,#594b38,1
5834,T08494,1778,203,194,167,#cbc2a7,1
5835,T08495,1778,198,192,166,#c6c0a6,1
5836,T08496,1778,203,205,182,#cbcdb6,1
5837,T08497,1778,196,196,174,#c4c4ae,1
5838,T08498,1778,88,76,58,#584c3a,1
5839,T08499,1778,193,201,189,#c1c9bd,1
5840,T08500,1778,200,197,177,#c8c5b1,1
5841,T08501,1778,194,187,165,#c2bba5,1
5842,T08502,1778,168,162,143,#a8a28f,1
5843,T08503,1778,204,196,174,#ccc4ae,1
5844,T08504,1778,107,89,66,#6b5942,1
5845,T08505,1778,184,178,154,#b8b29a,1
5846,T08506,1778,92,79,59,#5c4f3b,1
5847,T08507,1778,196,196,178,#c4c4b2,1
5848,T08508,1778,208,205,190,#d0cdbe,1
5849,T08509,1778,174,174,156,#aeae9c,1
5850,T08510,1778,206,206,190,#cecebe,1
5851,T08511,1778,80,69,54,#504536,1
5852,T08512,1750,228,218,199,#e4dac7,1
5853,T08513,,167,150,124,#a7967c,1
5854,T08514,,207,195,171,#cfc3ab,1
5855,T08515,1780,193,176,146,#c1b092,1
5856,T08516,,219,205,180,#dbcdb4,1
5857,T08517,,188,175,151,#bcaf97,1
5858,T08518,,219,191,156,#dbbf9c,1
5859,T08519,,95,79,59,#5f4f3b,1
5860,T08520,,122,95,69,#7a5f45,1
5861,T08521,,150,123,89,#967b59,1
5862,T08522,,154,127,94,#9a7f5e,1
5863,T08523,,207,197,175,#cfc5af,1
5864,T08524,,209,210,203,#d1d2cb,1
5865,T08525,1865,214,206,191,#d6cebf,1
5866,T08526,,216,205,181,#d8cdb5,1
5867,T08527,1778,209,188,161,#d1bca1,1
5868,T08528,,177,147,108,#b1936c,1
5869,T08529,,184,160,124,#b8a07c,1
5870,T08530,,216,208,192,#d8d0c0,1
5871,T08531,,196,175,148,#c4af94,1
5872,T08532,1799,127,118,102,#7f7666,1
5873,T08540,,170,140,106,#aa8c6a,1
5874,T08541,,176,163,144,#b0a390,1
5875,T08542,,191,179,153,#bfb399,1
5876,T08543,,161,150,128,#a19680,1
5877,T08544,,161,144,119,#a19077,1
5878,T08545,,196,176,147,#c4b093,1
5879,T08546,,217,202,177,#d9cab1,1
5880,T08548,,202,190,164,#cabea4,1
5881,T08549,,196,185,161,#c4b9a1,1
5882,T08551,,195,169,135,#c3a987,1
5883,T08552,1781,130,116,95,#82745f,1
5884,T08554,,87,75,56,#574b38,1
5885,T08555,,89,77,61,#594d3d,1
5886,T08556,1781,128,126,112,#807e70,1
5887,T08557,1781,165,156,136,#a59c88,1
5888,T08558,1781,213,205,192,#d5cdc0,1
5889,T08559,1781,213,217,209,#d5d9d1,1
5890,T08560,1781,197,182,153,#c5b699,1
5891,T08561,,66,57,44,#42392c,1
5892,T08562,1781,192,181,164,#c0b5a4,1
5893,T08563,1797,128,116,84,#807454,1
5894,T08564,,206,198,181,#cec6b5,1
5895,T08565,,184,175,153,#b8af99,1
5896,T08566,,188,164,131,#bca483,1
5897,T08568,1780,191,176,146,#bfb092,1
5898,T08569,1781,183,173,149,#b7ad95,1
5899,T08570,1781,83,74,62,#534a3e,1
5900,T08571,1781,215,206,191,#d7cebf,1
5901,T08572,1792,76,62,47,#4c3e2f,1
5902,T08573,1781,192,186,170,#c0baaa,1
5903,T08574,1781,119,106,93,#776a5d,1
5904,T08575,1778,179,162,132,#b3a284,1
5905,T08576,,219,205,179,#dbcdb3,1
5906,T08577,,80,71,54,#504736,1
5907,T08578,1780,125,118,96,#7d7660,1
5908,T08579,,121,101,77,#79654d,1
5909,T08580,1680,226,210,187,#e2d2bb,1
5910,T08581,,215,206,189,#d7cebd,1
5911,T08582,,222,217,200,#ded9c8,1
5912,T08583,,208,191,167,#d0bfa7,1
5913,T08585,,117,113,96,#757160,1
5914,T08586,,192,185,162,#c0b9a2,1
5915,T08587,,56,62,58,#383e3a,1
5916,T08588,,179,173,154,#b3ad9a,1
5917,T08589,,200,194,175,#c8c2af,1
5918,T08590,1774,180,160,131,#b4a083,1
5919,T08591,,229,214,190,#e5d6be,1
5920,T08592,,144,135,112,#908770,1
5921,T08593,,131,126,107,#837e6b,1
5922,T08594,,202,199,179,#cac7b3,1
5923,T08595,,231,225,206,#e7e1ce,1
5924,T08599,1835,215,204,184,#d7ccb8,1
5925,T08602,1814,241,231,212,#f1e7d4,1
5926,T08603,1812,232,212,186,#e8d4ba,1
5927,T08604,,75,63,51,#4b3f33,1
5928,T08605,1782,185,145,100,#b99164,1
5929,T08606,1782,66,49,35,#423123,1
5930,T08607,,74,58,44,#4a3a2c,1
5931,T08608,1728,199,184,162,#c7b8a2,1
5932,T08609,,203,193,171,#cbc1ab,1
5933,T08610,,57,48,35,#393023,1
5934,T08620,,225,206,184,#e1ceb8,1
5935,T08621,,226,206,180,#e2ceb4,1
5936,T08622,,200,187,164,#c8bba4,1
5937,T08624,,236,229,212,#ece5d4,1
5938,T08630,,74,75,68,#4a4b44,1
5939,T08632,,86,76,64,#564c40,1
5940,T08633,,202,188,165,#cabca5,1
5941,T08634,,203,190,167,#cbbea7,1
5942,T08638,,184,171,147,#b8ab93,1
5943,T08639,,212,196,172,#d4c4ac,1
5944,T08642,,73,79,72,#494f48,1
5945,T08643,,144,129,110,#90816e,1
5946,T08644,,156,144,122,#9c907a,1
5947,T08645,,214,200,175,#d6c8af,1
5948,T08646,,194,177,152,#c2b198,1
5949,T08647,,133,107,77,#856b4d,1
5950,T08648,,28,23,20,#1c1714,1
5951,T08649,,110,104,81,#6e6851,1
5952,T08669,,215,203,181,#d7cbb5,1
5953,T08671,,204,183,159,#ccb79f,1
5954,T08672,,231,222,197,#e7dec5,1
5955,T08674,,181,178,155,#b5b29b,1
5956,T08675,,151,149,126,#97957e,1
5957,T08676,,219,212,189,#dbd4bd,1
5958,T08677,,179,181,161,#b3b5a1,1
5959,T08678,,200,192,167,#c8c0a7,1
5960,T08679,,209,203,180,#d1cbb4,1
5961,T08680,,197,191,160,#c5bfa0,1
5962,T08681,,206,190,165,#cebea5,1
5963,T08690,,219,208,191,#dbd0bf,1
5964,T08707,,233,226,208,#e9e2d0,1
5965,T08720,,216,208,184,#d8d0b8,1
5966,T08721,,100,82,65,#645241,1
5967,T08722,,190,170,146,#beaa92,1
5968,T08723,,144,127,110,#907f6e,1
5969,T08729,1819,203,199,182,#cbc7b6,1
5970,T08730,,200,188,164,#c8bca4,1
5971,T08731,,201,197,177,#c9c5b1,1
5972,T08732,1802,171,153,124,#ab997c,1
5973,T08733,,107,83,62,#6b533e,1
5974,T08734,,128,141,140,#808d8c,1
5975,T08735,,209,192,166,#d1c0a6,1
5976,T08736,,91,69,49,#5b4531,1
5977,T08738,1803,215,199,176,#d7c7b0,1
5978,T08740,,199,189,165,#c7bda5,1
5979,T08744,,221,196,161,#ddc4a1,1
5980,T08745,,216,199,173,#d8c7ad,1
5981,T08746,,218,201,176,#dac9b0,1
5982,T08747,,115,89,69,#735945,1
5983,T08749,,168,145,112,#a89170,1
5984,T08750,1833,200,193,178,#c8c1b2,1
5985,T08751,,119,115,86,#777356,1
5986,T08752,,169,141,114,#a98d72,1
5987,T08754,,213,200,178,#d5c8b2,1
5988,T08758,,209,189,156,#d1bd9c,1
5989,T08760,,155,116,75,#9b744b,1
5990,T08761,1817,172,162,133,#aca285,1
5991,T08762,,76,83,87,#4c5357,1
5992,T08765,1800,179,171,153,#b3ab99,1
5993,T08766,,198,173,146,#c6ad92,1
5994,T08767,,200,175,146,#c8af92,1
5995,T08768,,103,87,72,#675748,1
5996,T08769,,134,114,89,#867259,1
5997,T08770,,196,170,143,#c4aa8f,1
5998,T08771,,168,157,140,#a89d8c,1
5999,T08772,,128,100,65,#806441,1
6000,T08773,,222,214,197,#ded6c5,1
6001,T08774,,230,218,199,#e6dac7,1
6002,T08775,,209,200,182,#d1c8b6,1
6003,T08776,,199,177,151,#c7b197,1
6004,T08777,,195,176,145,#c3b091,1
6005,T08778,,157,136,112,#9d8870,1
6006,T08779,,204,183,154,#ccb79a,1
6007,T08780,,198,179,151,#c6b397,1
6008,T08781,,192,174,148,#c0ae94,1
6009,T08782,,205,186,159,#cdba9f,1
6010,T08783,,203,185,158,#cbb99e,1
6011,T08784,,196,177,149,#c4b195,1
6012,T08785,,172,149,123,#ac957b,1
6013,T08786,,224,204,175,#e0ccaf,1
6014,T08787,,205,185,157,#cdb99d,1
6015,T08788,,217,202,176,#d9cab0,1
6016,T08789,,218,198,168,#dac6a8,1
6017,T08792,,194,187,159,#c2bb9f,1
6018,T08793,,210,194,166,#d2c2a6,1
6019,T08795,,190,162,128,#bea280,1
6020,T08796,,203,190,161,#cbbea1,1
6021,T08806,,214,195,166,#d6c3a6,1
6022,T08807,,203,182,153,#cbb699,1
6023,T08808,,118,99,79,#76634f,1
6024,T08809,,190,175,142,#beaf8e,1
6025,T08813,,187,160,110,#bba06e,1
6026,T08814,,102,82,63,#66523f,1
6027,T08815,1746,138,76,47,#8a4c2f,1
6028,T08816,,136,101,63,#88653f,1
6029,T08818,,183,137,93,#b7895d,1
6030,T08819,1829,124,76,51,#7c4c33,1
6031,T08820,1745,204,188,163,#ccbca3,1
6032,T08821,,128,99,68,#806344,1
6033,T08822,,109,93,74,#6d5d4a,1
6034,T08824,,190,161,123,#bea17b,1
6035,T08825,,202,166,126,#caa67e,1
6036,T08826,,156,125,95,#9c7d5f,1
6037,T08827,,235,219,193,#ebdbc1,1
6038,T08828,,184,187,170,#b8bbaa,1
6039,T08829,,223,207,182,#dfcfb6,1
6040,T08830,1800,85,72,52,#554834,1
6041,T08831,,190,143,100,#be8f64,1
6042,T08832,,169,133,89,#a98559,1
6043,T08833,,170,141,102,#aa8d66,1
6044,T08834,,197,177,150,#c5b196,1
6045,T08836,1805,135,105,76,#87694c,1
6046,T08837,,188,173,145,#bcad91,1
6047,T08838,,220,205,180,#dccdb4,1
6048,T08839,,133,78,45,#854e2d,1
6049,T08840,,168,119,80,#a87750,1
6050,T08841,,165,115,66,#a57342,1
6051,T08842,,152,108,78,#986c4e,1
6052,T08843,,123,95,61,#7b5f3d,1
6053,T08844,,199,187,163,#c7bba3,1
6054,T08845,,79,67,57,#4f4339,1
6055,T08846,,154,110,69,#9a6e45,1
6056,T08847,,62,44,29,#3e2c1d,1
6057,T08848,,153,112,76,#99704c,1
6058,T08851,,118,67,32,#764320,1
6059,T08852,,207,179,137,#cfb389,1
6060,T08856,,154,134,106,#9a866a,1
6061,T08857,,140,120,95,#8c785f,1
6062,T08859,,96,67,48,#604330,1
6063,T08861,,111,59,39,#6f3b27,1
6064,T08862,,201,180,150,#c9b496,1
6065,T08863,,107,90,75,#6b5a4b,1
6066,T08864,,178,161,137,#b2a189,1
6067,T08865,,196,183,162,#c4b7a2,1
6068,T08866,,81,54,36,#513624,1
6069,T08867,,193,170,135,#c1aa87,1
6070,T08868,,148,129,101,#948165,1
6071,T08869,,139,117,91,#8b755b,1
6072,T08870,,238,229,214,#eee5d6,1
6073,T08873,,187,173,151,#bbad97,1
6074,T08874,,221,213,199,#ddd5c7,1
6075,T08875,1782,108,74,49,#6c4a31,1
6076,T08877,,227,216,196,#e3d8c4,1
6077,T08880,1774,167,146,113,#a79271,1
6078,T08882,1853,175,158,134,#af9e86,1
6079,T08883,1787,168,139,103,#a88b67,1
6080,T08884,,208,189,163,#d0bda3,1
6081,T08886,1790,192,176,146,#c0b092,1
6082,T08888,,83,74,55,#534a37,1
6083,T08891,1766,174,153,123,#ae997b,1
6084,T08895,,82,67,49,#524331,1
6085,T08897,1837,210,199,180,#d2c7b4,1
6086,T08898,,219,206,190,#dbcebe,1
6087,T08899,,200,184,167,#c8b8a7,1
6088,T08900,,209,198,179,#d1c6b3,1
6089,T08904,,208,192,160,#d0c0a0,1
6090,T08905,,198,181,158,#c6b59e,1
6091,T08907,1799,140,120,84,#8c7854,1
6092,T08908,,201,176,145,#c9b091,1
6093,T08909,,100,75,57,#644b39,1
6094,T08910,,194,175,139,#c2af8b,1
6095,T08912,,216,205,178,#d8cdb2,1
6096,T08914,,136,100,68,#886444,1
6097,T08915,,93,79,60,#5d4f3c,1
6098,T08918,,224,208,181,#e0d0b5,1
6099,T08919,,110,96,79,#6e604f,1
6100,T08921,1741,224,207,180,#e0cfb4,1
6101,T08922,,219,194,158,#dbc29e,1
6102,T08923,,238,225,205,#eee1cd,1
6103,T08932,,177,151,123,#b1977b,1
6104,T08935,,161,140,110,#a18c6e,1
6105,T08936,1774,228,214,186,#e4d6ba,1
6106,T08938,,212,201,179,#d4c9b3,1
6107,T08939,,195,173,143,#c3ad8f,1
6108,T08940,,233,227,206,#e9e3ce,1
6109,T08941,,116,99,64,#746340,1
6110,T08942,,207,197,167,#cfc5a7,1
6111,T08943,,211,203,179,#d3cbb3,1
6112,T08944,,204,195,178,#ccc3b2,1
6113,T08945,,178,152,128,#b29880,1
6114,T08946,,179,161,135,#b3a187,1
6115,T08947,1851,165,155,129,#a59b81,1
6116,T08949,1851,180,159,124,#b49f7c,1
6117,T08950,,171,153,124,#ab997c,1
6118,T08951,1813,90,75,56,#5a4b38,1
6119,T08956,,229,221,203,#e5ddcb,1
6120,T08958,,204,185,149,#ccb995,1
6121,T09022,1866,206,205,187,#cecdbb,1
6122,T09023,1866,139,158,161,#8b9ea1,1
6123,T09026,1863,170,154,115,#aa9a73,1
6124,T09027,1865,133,143,128,#858f80,1
6125,T09028,1861,103,116,110,#67746e,1
6126,T09029,1865,144,152,134,#909886,1
6127,T09030,1862,155,155,122,#9b9b7a,1
6128,T09031,,165,166,157,#a5a69d,1
6129,T09032,1862,190,169,137,#bea989,1
6130,T09033,1865,187,184,171,#bbb8ab,1
6131,T09034,,77,90,80,#4d5a50,1
6132,T09035,1863,210,186,169,#d2baa9,1
6133,T09036,1861,178,179,160,#b2b3a0,1
6134,T09037,,169,154,129,#a99a81,1
6135,T09038,1861,152,158,143,#989e8f,1
6136,T09039,,130,121,98,#827962,1
6137,T09040,1861,112,114,100,#707264,1
6138,T09041,,194,182,140,#c2b68c,1
6139,T09042,,149,130,96,#958260,1
6140,T09043,,121,111,86,#796f56,1
6141,T09044,,221,210,187,#ddd2bb,1
6142,T09045,,127,153,146,#7f9992,1
6143,T09046,,162,154,120,#a29a78,1
6144,T09047,,121,110,91,#796e5b,1
6145,T09048,1861,140,122,89,#8c7a59,1
6146,T09049,,171,157,121,#ab9d79,1
6147,T09050,1859,121,114,84,#797254,1
6148,T09051,,172,151,112,#ac9770,1
6149,T09052,1855,149,147,120,#959378,1
6150,T09053,,223,214,192,#dfd6c0,1
6151,T09054,1862,105,98,79,#69624f,1
6152,T09055,1864,216,212,189,#d8d4bd,1
6153,T09056,,192,181,153,#c0b599,1
6154,T09059,,115,116,111,#73746f,1
6155,T09065,1828,172,150,120,#ac9678,1
6156,T09066,1796,198,185,162,#c6b9a2,1
6157,T09068,,153,137,111,#99896f,1
6158,T09069,,79,60,45,#4f3c2d,1
6159,T09073,,122,105,75,#7a694b,1
6160,T09078,,170,164,149,#aaa495,1
6161,T09079,,198,182,160,#c6b6a0,1
6162,T09086,,215,206,183,#d7ceb7,1
6163,T09087,,153,158,142,#999e8e,1
6164,T09100,,187,168,151,#bba897,1
6165,T09102,,201,195,175,#c9c3af,1
6166,T09103,,187,179,161,#bbb3a1,1
6167,T09113,,186,172,148,#baac94,1
6168,T09114,,150,123,89,#967b59,1
6169,T09115,,211,192,159,#d3c09f,1
6170,T09116,,154,146,129,#9a9281,1
6171,T09117,,104,88,75,#68584b,1
6172,T09119,,164,145,114,#a49172,1
6173,T09122,,214,198,166,#d6c6a6,1
6174,T09124,,183,166,129,#b7a681,1
6175,T09126,,195,191,170,#c3bfaa,1
6176,T09128,1800,215,199,170,#d7c7aa,1
6177,T09129,,84,74,60,#544a3c,1
6178,T09130,,160,133,102,#a08566,1
6179,T09132,,196,177,157,#c4b19d,1
6180,T09133,,148,128,102,#948066,1
6181,T09135,1824,206,188,155,#cebc9b,1
6182,T09137,,184,177,153,#b8b199,1
6183,T09138,,208,193,160,#d0c1a0,1
6184,T09139,1839,191,172,143,#bfac8f,1
6185,T09141,1851,203,186,158,#cbba9e,1
6186,T09142,,191,169,141,#bfa98d,1
6187,T09143,,204,189,162,#ccbda2,1
6188,T09144,,103,90,77,#675a4d,1
6189,T09145,,112,114,95,#70725f,1
6190,T09147,1787,215,209,190,#d7d1be,1
6191,T09148,,190,188,174,#bebcae,1
6192,T09150,1806,210,198,171,#d2c6ab,1
6193,T09151,1800,83,62,43,#533e2b,1
6194,T09153,,220,205,180,#dccdb4,1
6195,T09154,,218,209,186,#dad1ba,1
6196,T09155,,234,227,205,#eae3cd,1
6197,T09156,,212,188,154,#d4bc9a,1
6198,T09159,,219,208,182,#dbd0b6,1
6199,T09161,,225,221,204,#e1ddcc,1
6200,T09167,,220,208,185,#dcd0b9,1
6201,T09170,,176,154,119,#b09a77,1
6202,T09171,,148,129,104,#948168,1
6203,T09175,,223,211,186,#dfd3ba,1
6204,T09183,,216,204,183,#d8ccb7,1
6205,T09186,,222,215,197,#ded7c5,1
6206,T09188,,203,179,145,#cbb391,1
6207,T09191,,219,206,189,#dbcebd,1
6208,T09192,,230,219,202,#e6dbca,1
6209,T09194,,219,206,188,#dbcebc,1
6210,T09197,,207,187,156,#cfbb9c,1
6211,T09199,,193,173,143,#c1ad8f,1
6212,T09201,,171,145,118,#ab9176,1
6213,T09202,,223,209,184,#dfd1b8,1
6214,T09203,,213,198,173,#d5c6ad,1
6215,T09204,,220,208,185,#dcd0b9,1
