,accession_number,year,r,g,b
355,A01326,,58,56,50
356,A01339,,190,165,135
357,A01342,,57,47,44
358,A01346,,183,184,169
359,A01350,,230,220,198
360,A01351,,165,168,159
361,A01352,,233,223,201
362,A01356,,50,42,38
363,A01360,,221,213,193
364,A01369,,226,219,201
365,A01370,,228,220,198
366,A01372,,143,136,124
367,A01373,,236,229,211
368,A01379,,72,64,57
369,A01381,,241,236,217
370,A01389,,241,238,222
371,A01391,,228,219,192
372,A01392,,226,214,188
373,A01396,,227,217,190
374,A01398,,233,229,210
375,A01400,,231,221,192
376,A01401,,205,201,181
377,A01403,,205,183,151
378,A01407,,201,171,127
379,A01410,,229,220,197
380,A01412,,194,170,138
381,A01414,,235,230,214
382,A01416,,92,63,49
383,A01421,,241,238,223
384,A01422,,242,238,223
385,A01424,,140,155,153
386,A01429,,216,203,182
387,A01431,,241,236,221
388,A01432,,244,236,216
389,A01433,,239,236,219
390,A01436,,237,233,218
391,A01438,,221,212,190
392,A01439,,221,213,192
393,A01441,,238,234,221
394,A01442,,235,232,218
395,A01443,,221,200,167
396,A01449,,53,53,53
397,A01451,,231,220,198
398,A01454,,238,234,219
399,A01455,,229,225,208
400,A01456,,220,216,200
401,A01457,,224,219,202
402,A01458,,154,168,165
403,A01459,,237,232,218
404,A01466,,229,223,203
405,A01467,,56,52,50
406,A01468,,54,56,53
407,A01473,,226,220,200
408,A01474,,223,213,186
409,A01475,,241,237,219
410,A01477,,205,185,151
411,A01489,,41,41,40
412,A01491,,36,37,34
413,A01492,,232,230,215
414,A01494,,28,31,29
415,A01495,,35,34,33
416,A01503,,179,151,114
417,A01506,,220,217,205
418,A01508,,41,42,41
419,A01512,,31,34,30
420,A01516,,40,40,40
421,A01517,,40,38,39
422,A01518,,38,35,35
423,A01520,,48,45,43
424,A01521,,47,46,45
425,A01522,,42,41,40
426,A01523,,50,51,47
427,A01525,,47,44,38
428,A01526,,41,37,33
429,A01527,,38,36,34
430,A01529,,221,216,199
431,A01530,,234,229,215
432,A01532,,42,35,33
433,A01533,,220,216,200
434,A01534,,207,204,186
435,A01535,,46,42,38
436,A01537,,132,138,121
437,A01538,,218,210,187
438,A01539,,38,34,31
439,A01540,,208,199,177
440,A01541,,43,42,38
441,A01543,,32,34,33
442,A01544,,36,34,33
443,A01546,,44,45,46
444,A01547,,57,53,49
445,A01548,,236,231,213
446,A01549,,228,225,211
447,A01550,,231,229,214
448,A01551,,224,222,205
449,A01552,,43,44,45
450,A01553,,53,51,47
451,A01554,,43,43,43
452,A01556,,228,224,206
453,A01559,,42,40,37
454,A01560,,48,44,42
455,A01562,,43,43,42
456,A01565,,60,73,81
457,A01566,,59,56,50
458,A01568,,46,46,45
459,A01569,,49,49,49
460,A01570,,54,51,45
461,A01571,,248,247,235
462,A01573,,43,41,39
463,A01575,,229,223,205
464,A01576,,230,228,211
465,A01577,,230,228,213
466,A01579,,45,42,39
467,A01581,,183,153,116
468,A01583,,233,228,208
469,A01584,,46,46,45
470,A01586,,226,219,198
471,A01589,,65,57,53
472,A01592,,244,234,205
473,A01594,,64,57,54
474,A01596,,216,208,183
475,A01599,,43,42,40
476,A01600,,46,47,44
477,A01601,,105,81,56
478,A01603,,39,42,41
479,A01604,,44,45,44
480,A01605,,238,232,216
481,A01606,,236,231,215
482,A01607,,244,239,223
483,A01609,,228,225,206
484,A01610,,50,56,58
485,A01611,,55,55,53
486,A01612,,61,58,54
487,A01613,,50,51,49
488,A01614,,55,60,64
489,A01616,,44,45,44
490,A01620,,47,47,45
491,A01626,,165,183,179
492,A01630,,232,220,194
493,A01631,,189,163,129
494,A01632,,246,242,223
495,A01636,,232,223,198
496,A01637,,47,47,46
497,A01639,,233,226,200
498,A01640,,46,46,44
499,A01641,,67,59,54
500,A01643,,218,214,195
501,A01645,,54,56,56
502,A01646,,56,57,56
503,A01648,,237,232,214
504,A01650,,227,224,207
505,A01651,,175,156,125
506,A01652,,240,237,218
507,A01653,,233,226,203
508,A01654,,48,48,46
509,A01655,,242,236,215
510,A01657,,240,236,219
511,A01659,,231,222,195
512,A01660,,233,224,198
513,A01662,,244,241,224
514,A01664,,163,166,148
515,A01666,,136,118,92
516,A01670,,215,201,174
517,A01671,,214,206,184
518,A01672,,206,188,158
519,A01675,,218,204,177
520,A01677,,186,170,144
521,A01683,,170,162,143
522,A01684,,231,229,212
523,A01685,,233,225,207
524,A01687,,219,212,194
525,A01688,,213,202,178
526,A01689,,210,194,165
527,A01690,,44,50,52
528,A01692,,231,227,209
529,A01695,,221,215,196
530,A01697,,206,193,169
531,A01698,,219,208,185
532,A01699,,173,159,134
533,A01700,,46,45,40
534,A01701,,158,142,116
535,A01702,,155,131,106
536,A01704,,227,219,197
537,A01705,,230,225,207
538,A01706,,229,222,201
539,A01708,,218,206,181
540,A01709,,227,222,204
541,A01711,,208,198,170
542,A01715,,228,224,206
543,A01717,,128,141,136
544,A01718,,222,214,195
545,A01721,,225,217,197
546,A01722,,39,40,39
547,A01723,,206,198,175
548,A01729,,38,37,36
549,A01732,,204,191,166
550,AR00095,1949,171,164,145
551,AR00097,1952,221,215,182
552,AR00098,1952,197,193,181
553,AR00101,1954,188,179,139
554,AR00102,1954,212,203,185
555,AR00103,1955,196,173,127
556,AR00105,1958,193,181,146
557,AR00107,1958,180,166,139
558,AR00112,1959,227,219,199
559,AR00114,1959,211,203,185
560,AR00123,1965,166,126,58
561,AR00181,1979,225,222,218
562,AR00629,1946,188,181,167
563,AR00631,1953,211,203,197
564,AR00632,1954,195,192,180
565,AR00633,1954,231,224,197
566,AR00635,1954,210,204,194
567,AR00636,1954,208,203,184
568,AR00637,1956,188,163,118
569,AR00641,1958,200,179,137
570,AR00649,1961,222,215,190
571,AR00655,1962,180,153,101
572,D00001,1787,229,226,209
573,D00002,1787,189,188,167
574,D00003,1787,185,183,158
575,D00005,1791,176,159,123
576,D00012,1789,246,239,221
577,D00013,1789,245,238,219
578,D00014,1789,222,213,189
579,D00017,1789,245,238,221
580,D00018,1789,36,36,33
581,D00019,1789,232,226,207
582,D00026,1789,241,235,216
583,D00031,1789,232,224,205
584,D00039,1789,241,236,219
585,D00042,1789,140,127,104
586,D00046,1789,206,200,176
587,D00047,1787,223,220,203
588,D00048,1789,179,170,137
589,D00049,1789,170,161,129
590,D00054,1792,115,100,82
591,D00055,1791,129,113,92
592,D00057,1792,147,128,103
593,D00061,1792,196,190,168
594,D00067,1793,102,90,74
595,D00069,1791,158,140,119
596,D00074,1791,41,41,40
597,D00079,1791,42,43,42
598,D00080,1791,44,44,44
599,D00081,1791,204,195,178
600,D00082,1791,229,221,203
601,D00083,1791,39,39,39
602,D00086,1791,156,148,126
603,D00087,1791,46,45,42
604,D00088,1791,40,40,39
605,D00096,1791,68,67,53
606,D00097,1791,45,44,39
607,D00102,1791,40,39,39
608,D00105,1791,189,179,151
609,D00106,1791,225,209,178
610,D00107,1791,90,89,77
611,D00108,1791,154,149,129
612,D00109,1791,143,139,113
613,D00110,1791,99,84,64
614,D00111,1791,79,74,55
615,D00112,1791,92,81,59
616,D00113,1791,195,183,152
617,D00114,1791,109,114,94
618,D00115,1790,187,175,142
619,D00121,1792,151,138,110
620,D00122,1792,127,102,82
621,D00140,1792,194,189,167
622,D00144,1792,175,163,129
623,D00145,1792,163,154,129
624,D00147,,175,173,156
625,D00155,1792,168,160,134
626,D00156,1792,211,210,191
627,D00160,1793,137,129,106
628,D00161,1792,184,172,142
629,D00169,1793,190,181,158
630,D00176,1792,163,143,114
631,D00184,1791,206,197,169
632,D00185,1792,220,213,193
633,D00186,1791,184,179,148
634,D00187,1790,54,41,32
635,D00188,1795,182,161,126
636,D00192,1792,164,157,131
637,D00193,1792,172,160,134
638,D00202,1796,98,112,107
639,D00329,1798,199,196,175
640,D00352,1794,230,217,191
641,D00358,1794,118,99,77
642,D00374,1794,152,146,129
643,D00376,1793,147,137,107
644,D00379,1792,210,208,191
645,D00382,,154,135,103
646,D00388,1793,202,186,159
647,D00389,1792,149,139,117
648,D00390,1792,181,181,162
649,D00391,1792,153,144,119
650,D00392,1792,147,143,122
651,D00394,1792,169,161,136
652,D00395,1796,214,205,183
653,D00396,1792,177,173,149
654,D00399,1793,235,230,213
655,D00406,1793,158,141,111
656,D00582,1795,139,126,99
657,D00663,1798,241,235,221
658,D00667,1796,170,171,145
659,D00668,1798,180,175,149
660,D00669,1795,227,221,205
661,D00670,1794,202,192,166
662,D00671,1796,152,147,123
663,D00672,1794,130,123,98
664,D00673,1796,130,122,93
665,D00674,1796,179,168,141
666,D00675,1795,200,181,150
667,D00676,1795,189,180,157
668,D00677,1795,183,173,149
669,D00678,,120,115,95
670,D00679,1794,97,97,79
671,D00680,1796,181,169,140
672,D00681,1796,173,163,139
673,D00683,1795,228,218,199
674,D00684,1794,198,198,191
675,D00685,1793,174,177,158
676,D00686,1795,165,160,148
677,D00687,1795,216,203,181
678,D00688,1795,195,184,161
679,D00689,1795,117,106,88
680,D00691,1794,69,59,47
681,D00692,,159,148,119
682,D00693,1794,92,80,61
683,D00694,1792,177,168,152
684,D00696,1794,179,177,158
685,D00697,1795,199,175,136
686,D00698,1796,35,28,23
687,D00699,1794,244,238,221
688,D00701,1798,224,219,200
689,D00702,1795,146,126,94
690,D00703,1794,61,57,44
691,D00704,1795,161,140,103
692,D00705,1795,108,97,75
693,D00706,1798,132,114,88
694,D00707,1798,188,176,151
695,D00708,1798,124,111,84
696,D00709,1798,140,122,93
697,D00711,1794,226,221,202
