,accession_number,year,r,g,b
3444,D34811,1830,204,196,178
3445,D34813,1830,201,193,174
3446,D34864,1830,166,139,108
3447,D34865,1830,195,167,134
3448,D34884,1830,236,224,201
3449,D34962,1844,229,222,203
3450,D34963,1844,228,220,205
3451,D34964,1844,233,226,215
3452,D34971,1844,149,134,117
3453,D34973,1844,186,169,152
3454,D34975,1844,209,203,198
3455,D34977,1844,203,195,189
3456,D34979,1844,186,171,158
3457,D34981,1844,223,212,199
3458,D34983,1844,222,213,204
3459,D34985,1844,213,202,190
3460,D34987,1844,220,207,191
3461,D34989,1844,229,221,205
3462,D34991,1844,228,221,210
3463,D34993,1844,221,212,199
3464,D34995,1844,222,212,199
3465,D34997,1844,211,197,187
3466,D34999,1844,220,210,197
3467,D35001,1844,226,218,199
3468,D35002,1844,227,220,205
3469,D35003,1844,228,221,201
3470,D35004,1844,223,214,192
3471,D35005,1844,29,29,31
3472,D35006,1844,29,29,30
3473,D35007,1844,28,28,29
3474,D35008,1844,29,29,30
3475,D35009,1844,28,28,29
3476,D35010,1844,28,27,29
3477,D35011,1844,28,27,28
3478,D35012,1844,28,28,29
3479,D35022,1844,26,26,27
3480,D35030,1844,26,26,27
3481,D35040,1844,218,209,193
3482,D35041,1844,217,203,185
3483,D35043,1844,231,225,215
3484,D35044,1844,28,29,31
3485,D35045,1844,212,205,189
3486,D35125,1844,233,221,202
3487,D35126,1844,229,228,216
3488,D35127,1844,233,231,216
3489,D35128,1844,235,234,222
3490,D35129,1844,233,233,221
3491,D35130,1844,233,232,216
3492,D35131,1844,236,235,225
3493,D35132,1844,241,241,230
3494,D35133,1844,235,229,215
3495,D35134,1844,228,223,205
3496,D35135,1844,218,210,186
3497,D35136,1844,218,211,190
3498,D35137,1844,213,206,186
3499,D35138,1844,226,218,197
3500,D35139,1844,210,206,189
3501,D35140,1844,216,209,192
3502,D35141,1844,215,207,191
3503,D35142,1844,214,207,189
3504,D35143,1844,200,192,172
3505,D35144,1844,198,187,166
3506,D35145,1844,208,201,178
3507,D35146,1844,200,188,165
3508,D35147,1844,227,222,203
3509,D35148,1844,204,196,179
3510,D35149,1844,221,209,182
3511,D35150,1844,206,200,183
3512,D35151,1844,200,188,166
3513,D35152,1844,220,216,202
3514,D35153,1844,202,195,174
3515,D35177,1844,223,215,198
3516,D35178,1844,26,27,28
3517,D35179,1844,28,29,30
3518,D35180,1844,223,219,207
3519,D35182,1844,223,217,202
3520,D35219,1844,220,215,198
3521,D35220,1844,226,220,200
3522,D35221,1844,222,219,210
3523,D35222,1844,229,217,196
3524,D35224,1844,220,200,165
3525,D35225,1844,210,199,182
3526,D35227,1844,216,207,187
3527,D35228,1844,209,193,160
3528,D35229,1844,220,208,179
3529,D35230,1844,217,207,185
3530,D35231,1844,218,211,193
3531,D35232,1844,218,213,196
3532,D35233,1844,213,205,187
3533,D35234,1844,201,189,164
3534,D35235,1844,213,205,187
3535,D35236,1844,213,209,196
3536,D35237,1844,220,212,190
3537,D35238,1844,208,194,166
3538,D35239,1844,231,215,189
3539,D35240,1845,76,64,50
3540,D35241,1844,186,179,162
3541,D35242,1844,204,194,170
3542,D35243,1844,200,191,168
3543,D35244,1845,199,191,175
3544,D35247,1844,162,151,128
3545,D35248,1844,191,181,158
3546,D35249,1844,190,179,151
3547,D35250,1845,181,164,139
3548,D35251,1844,187,175,152
3549,D35252,1844,184,171,148
3550,D35253,1844,188,176,156
3551,D35258,1844,182,174,153
3552,D35259,1844,122,113,97
3553,D35260,1845,194,182,164
3554,D35361,1845,193,189,170
3555,D35362,1845,229,216,193
3556,D35363,1845,222,207,185
3557,D35364,1845,232,219,197
3558,D35365,1845,233,216,180
3559,D35366,1845,236,219,193
3560,D35367,1845,231,216,190
3561,D35368,1845,206,194,171
3562,D35369,1845,235,221,192
3563,D35370,1845,239,227,202
3564,D35371,1845,35,35,34
3565,D35372,1845,240,227,204
3566,D35373,1845,240,224,197
3567,D35374,1845,241,225,194
3568,D35375,1845,243,233,215
3569,D35376,1845,36,35,34
3570,D35377,1845,35,34,33
3571,D35378,1845,35,35,34
3572,D35379,1845,237,228,210
3573,D35380,1845,237,226,198
3574,D35381,1845,36,35,35
3575,D35382,1845,34,34,33
3576,D35383,1845,35,34,33
3577,D35384,1845,228,215,193
3578,D35385,1845,182,174,155
3579,D35386,1845,170,171,153
3580,D35387,1845,191,175,146
3581,D35388,1845,198,185,160
3582,D35389,1845,199,188,163
3583,D35390,1845,195,181,154
3584,D35391,1845,205,192,163
3585,D35392,1845,206,192,154
3586,D35393,1845,227,213,178
3587,D35394,1845,203,190,164
3588,D35395,1845,214,200,166
3589,D35397,1845,194,186,162
3590,D35398,1845,198,189,162
3591,D35399,1845,191,185,167
3592,D35400,1845,187,171,137
3593,D35401,1845,199,195,179
3594,D35402,1845,31,31,30
3595,D35403,1845,32,32,30
3596,D35404,1845,230,222,202
3597,D35405,1845,31,32,31
3598,D35406,1845,230,221,196
3599,D35407,1845,32,32,31
3600,D35408,1845,229,220,201
3601,D35409,1845,34,34,34
3602,D35410,1845,32,33,32
3603,D35411,1845,227,224,204
3604,D35412,1845,28,28,28
3605,D35413,1845,28,29,29
3606,D35414,1845,228,215,181
3607,D35415,1845,31,29,29
3608,D35416,1845,29,28,26
3609,D35417,1845,221,204,172
3610,D35419,1845,28,28,28
3611,D35420,1845,223,214,191
3612,D35421,1845,223,215,191
3613,D35424,1845,230,220,191
3614,D35425,1845,231,218,188
3615,D35427,1845,230,219,189
3616,D35430,1845,228,218,193
3617,D35431,1845,231,221,194
3618,D35433,1845,30,31,30
3619,D35435,1845,194,194,169
3620,D35436,1845,131,142,134
3621,D35437,1845,211,194,167
3622,D35438,1845,217,209,192
3623,D35439,1845,212,206,187
3624,D35440,1845,219,204,180
3625,D35441,1845,188,173,140
3626,D35442,1845,173,147,114
3627,D35443,1845,209,194,165
3628,D35444,1845,185,171,136
3629,D35445,1845,146,124,103
3630,D35446,1845,152,144,118
3631,D35447,1845,196,186,164
3632,D35448,1845,196,185,162
3633,D35449,1845,204,197,178
3634,D35450,1845,180,169,143
3635,D35451,1845,176,174,154
3636,D35452,1845,204,195,176
3637,D35453,1845,123,130,109
3638,D35456,1845,186,174,145
3639,D35457,1845,189,169,132
3640,D35459,1845,222,204,172
3641,D35460,1845,226,213,191
3642,D35461,1845,228,216,196
3643,D35462,1845,230,217,195
3644,D35463,1845,228,214,191
3645,D35464,1845,225,210,190
3646,D35465,1845,230,224,210
3647,D35466,1845,228,218,199
3648,D35467,1845,224,214,195
3649,D35468,1845,219,204,180
3650,D35469,1845,219,207,187
3651,D35470,1845,230,219,198
3652,D35471,1845,225,213,190
3653,D35472,1845,222,203,167
3654,D35473,1845,209,198,181
3655,D35474,1845,209,201,183
3656,D35475,1845,218,207,184
3657,D35476,1845,224,215,200
3658,D35477,1845,223,211,191
3659,D35478,1845,211,180,149
3660,D35480,1845,187,147,118
3661,D35482,1845,215,190,158
3662,D35484,1845,206,162,120
3663,D35486,1845,216,193,148
3664,D35837,1830,196,176,149
3665,D35838,1841,184,161,131
3666,D35839,1830,206,184,155
3667,D35840,1830,204,188,162
3668,D35841,1830,211,200,176
3669,D35843,1830,209,193,169
3670,D35844,1830,215,202,179
3671,D35845,1830,205,191,160
3672,D35846,1830,193,185,162
3673,D35848,1830,200,179,152
3674,D35849,1830,214,188,155
3675,D35850,1845,226,218,201
3676,D35851,1840,211,207,193
3677,D35852,1830,201,185,153
3678,D35853,1830,210,198,176
3679,D35854,1845,203,190,167
3680,D35855,1845,181,167,137
3681,D35856,1830,215,202,176
3682,D35857,1830,202,186,155
3683,D35858,1830,206,187,157
3684,D35859,1830,217,206,182
3685,D35861,1842,210,203,184
3686,D35862,1830,210,198,177
3687,D35863,1841,233,225,209
3688,D35865,1830,199,185,163
3689,D35866,1830,192,177,151
3690,D35867,1830,189,173,145
3691,D35869,1830,189,159,132
3692,D35870,1830,204,192,166
3693,D35871,1830,215,209,192
3694,D35872,1830,219,207,184
3695,D35873,1830,175,154,123
3696,D35874,1840,218,212,191
3697,D35875,1840,198,194,176
3698,D35876,1830,172,160,139
3699,D35877,1845,204,201,187
3700,D35878,1830,194,188,166
3701,D35879,1836,234,229,212
3702,D35880,1845,228,218,197
3703,D35881,1830,201,189,162
3704,D35882,1840,209,192,169
3705,D35883,1830,197,187,169
3706,D35884,1830,219,214,192
3707,D35885,1830,199,187,157
3708,D35887,1836,198,186,165
3709,D35888,1830,216,209,196
3710,D35889,1840,229,217,194
3711,D35890,1830,195,164,126
3712,D35891,1836,133,108,79
3713,D35893,1830,202,188,159
3714,D35894,1830,238,231,209
3715,D35895,1830,230,221,201
3716,D35896,1830,209,202,187
3717,D35898,1830,210,198,177
3718,D35899,1844,208,205,190
3719,D35900,1830,210,201,182
3720,D35901,1840,215,209,179
3721,D35902,1830,192,187,165
3722,D35904,1830,205,196,172
3723,D35905,1830,208,203,185
3724,D35906,1845,202,192,171
3725,D35907,1830,222,213,194
3726,D35908,1830,231,226,210
3727,D35909,1830,216,200,179
3728,D35910,1840,163,144,112
3729,D35911,1830,205,200,180
3730,D35912,1830,200,192,171
3731,D35913,1842,218,204,185
3732,D35914,1830,195,175,151
3733,D35915,1842,201,192,172
3734,D35916,1830,219,205,187
3735,D35917,1830,226,216,195
3736,D35918,1830,224,213,195
3737,D35919,1830,218,206,185
3738,D35920,1830,200,193,176
3739,D35921,1830,203,197,177
3740,D35922,1830,205,200,182
3741,D35923,1840,153,137,107
3742,D35924,1830,244,241,222
3743,D35925,1830,212,199,176
3744,D35926,1830,211,205,186
3745,D35927,1840,195,178,155
3746,D35928,1830,195,178,156
3747,D35929,1830,227,215,187
3748,D35930,1830,184,168,140
3749,D35931,1845,228,221,204
3750,D35932,1830,211,198,178
3751,D35933,1830,219,213,194
3752,D35934,1830,197,187,163
3753,D35935,1830,210,197,167
3754,D35936,1836,197,189,173
3755,D35937,1830,189,169,139
3756,D35938,1830,210,201,178
3757,D35939,1830,192,173,146
3758,D35940,1830,213,200,178
3759,D35941,1830,216,212,198
3760,D35942,1830,212,210,194
3761,D35943,1840,201,183,145
3762,D35944,1830,204,191,165
3763,D35945,1845,218,205,178
3764,D35946,1842,188,185,168
3765,D35947,1830,219,206,179
3766,D35948,1840,240,230,209
3767,D35949,1840,215,203,178
3768,D35950,1845,216,208,187
3769,D35951,1830,218,216,202
3770,D35952,1845,211,206,189
3771,D35953,1824,80,74,60
3772,D35954,1830,222,215,197
3773,D35955,1830,222,215,198
3774,D35956,1830,205,197,170
3775,D35957,1845,228,226,214
3776,D35958,1845,218,215,202
3777,D35959,1845,206,195,175
3778,D35960,1830,218,203,175
3779,D35961,1830,213,196,166
3780,D35962,1830,203,188,158
3781,D35963,1830,210,199,177
3782,D35964,1836,183,170,144
3783,D35965,1842,211,202,181
3784,D35966,1830,200,184,157
3785,D35967,1830,207,193,169
3786,D35968,1830,219,210,190
3787,D35969,1830,200,188,162
3788,D35970,1830,206,197,181
3789,D35971,1836,199,184,162
3790,D35972,1842,198,196,182
3791,D35973,1824,159,158,140
3792,D35974,1830,216,202,180
3793,D35975,1830,204,186,159
3794,D35976,1843,199,172,138
3795,D35977,1830,210,202,179
3796,D35978,1830,207,197,175
3797,D35979,1836,198,177,152
3798,D35980,1840,213,193,150
3799,D35981,1844,215,208,192
3800,D35982,1830,207,198,174
3801,D35983,1830,191,174,150
3802,D35984,1830,197,183,153
3803,D35985,1830,236,229,207
3804,D35986,1830,200,177,129
3805,D35987,1830,202,198,181
3806,D35988,1844,199,194,182
3807,D35989,1835,193,170,143
3808,D35990,1845,219,209,188
3809,D35991,1825,188,176,148
3810,D35992,1830,189,186,168
3811,D35993,1830,188,175,151
3812,D35994,1830,187,169,140
3813,D35995,1830,216,204,178
3814,D35996,1836,189,176,154
3815,D35997,1830,230,224,207
3816,D35998,1830,224,216,199
3817,D35999,1840,204,188,166
3818,D36000,1840,206,198,183
3819,D36001,1830,191,183,163
3820,D36002,1830,200,197,178
3821,D36003,1830,190,196,179
3822,D36004,1830,181,172,151
3823,D36006,1830,202,199,182
3824,D36007,1830,203,201,184
3825,D36010,1830,242,236,225
3826,D36013,1830,205,196,161
3827,D36014,1830,193,181,151
3828,D36015,1830,227,216,189
3829,D36016,1830,201,189,166
3830,D36017,1843,225,216,196
3831,D36018,1844,231,225,213
3832,D36019,1844,218,211,195
3833,D36020,1830,211,206,189
3834,D36021,1830,210,203,188
3835,D36022,1844,216,210,191
3836,D36023,1844,189,186,169
3837,D36024,1830,197,194,177
3838,D36025,1830,207,202,188
3839,D36026,1830,214,209,194
3840,D36027,1844,208,200,186
3841,D36028,1830,234,228,209
3842,D36029,1844,216,212,201
3843,D36030,1844,217,209,190
3844,D36031,1830,218,204,174
3845,D36032,1830,212,200,173
3846,D36033,1830,220,208,180
3847,D36034,1830,216,209,190
3848,D36036,1830,218,211,191
3849,D36037,1841,221,215,206
3850,D36038,1830,194,188,168
3851,D36039,1835,220,209,183
3852,D36040,1830,225,218,201
3853,D36041,1830,212,205,188
3854,D36042,1830,204,198,167
3855,D36043,1830,202,195,175
3856,D36044,1830,232,216,193
3857,D36045,1830,208,202,185
3858,D36046,1844,212,206,187
3859,D36047,1830,216,208,186
3860,D36048,1840,209,201,168
3861,D36049,1830,202,198,180
3862,D36050,1830,229,223,205
3863,D36051,1830,222,215,195
3864,D36052,1830,232,225,204
3865,D36053,1842,203,190,159
3866,D36055,1842,206,196,176
3867,D36056,1830,194,187,166
3868,D36057,1830,184,158,129
3869,D36058,1830,155,134,114
3870,D36059,1830,186,171,130
3871,D36060,1841,217,204,183
3872,D36061,1830,211,196,166
3873,D36062,1830,201,196,180
3874,D36063,1842,187,176,155
3875,D36064,1830,191,179,153
3876,D36065,1841,202,189,166
3877,D36066,1841,211,197,173
3878,D36067,1841,204,197,184
3879,D36068,1830,189,176,145
3880,D36069,1830,198,188,165
3881,D36070,1823,130,120,107
3882,D36071,1830,215,200,176
3883,D36072,1825,195,188,162
3884,D36073,1830,217,208,188
3885,D36074,1830,210,200,178
3886,D36075,1841,201,191,165
3887,D36076,1830,205,198,180
3888,D36077,1840,202,189,165
3889,D36078,1835,194,174,140
3890,D36079,1840,202,187,161
3891,D36080,1830,217,205,185
3892,D36081,1830,219,205,184
3893,D36082,1830,199,180,149
3894,D36083,1836,211,194,169
3895,D36084,1842,209,203,184
3896,D36085,1840,191,171,142
3897,D36086,1830,188,166,140
3898,D36087,1830,76,61,39
3899,D36088,1830,120,116,99
3900,D36089,1830,49,40,28
3901,D36090,1830,140,127,103
3902,D36091,1830,114,102,87
3903,D36093,1830,80,101,110
3904,D36094,1830,78,95,104
3905,D36095,1839,77,93,101
3906,D36096,1830,79,97,105
3907,D36097,1830,98,101,95
3908,D36098,1830,89,100,105
3909,D36099,1839,73,94,103
3910,D36100,1830,75,96,107
3911,D36101,1839,82,99,105
3912,D36102,1839,69,84,87
3913,D36103,1830,74,87,88
3914,D36104,1830,99,112,112
3915,D36105,1830,111,87,59
3916,D36107,1830,111,85,57
3917,D36108,1830,115,98,76
3918,D36109,1836,167,145,117
3919,D36110,1830,143,129,109
3920,D36111,1830,112,101,82
3921,D36112,1830,119,97,76
3922,D36113,1830,113,89,60
3923,D36114,1830,148,135,111
3924,D36115,1830,216,205,183
3925,D36116,1830,214,210,193
3926,D36117,1830,199,187,161
3927,D36118,1820,158,135,102
3928,D36119,1830,206,193,165
3929,D36120,1845,183,167,141
3930,D36122,1841,205,192,166
3931,D36123,1841,208,191,169
3932,D36124,1843,197,173,145
3933,D36125,1841,208,199,180
3934,D36126,1842,207,197,174
3935,D36127,1841,202,185,152
3936,D36129,1842,199,192,168
3937,D36131,1842,181,167,141
3938,D36133,1844,221,214,196
3939,D36135,1844,184,171,144
3940,D36137,1841,222,209,183
3941,D36138,1841,231,210,186
3942,D36139,1841,188,174,142
3943,D36141,1841,210,201,181
3944,D36142,1841,214,207,186
3945,D36143,1845,201,184,150
3946,D36145,1841,216,216,200
3947,D36147,1841,208,205,188
3948,D36150,1840,184,177,166
3949,D36151,1840,190,185,177
3950,D36152,1840,174,159,145
3951,D36153,1840,181,174,157
3952,D36154,1830,168,163,151
3953,D36155,1830,167,164,154
3954,D36156,1830,167,162,149
3955,D36157,1830,152,152,140
3956,D36158,1840,181,180,176
3957,D36159,1835,209,188,153
3958,D36160,1830,237,219,189
3959,D36161,1830,189,167,134
3960,D36162,1840,116,95,69
3961,D36163,1830,151,155,144
3962,D36164,1830,117,114,101
3963,D36165,1830,214,202,170
3964,D36166,1841,238,228,208
3965,D36168,1840,195,185,162
3966,D36169,1841,206,208,194
3967,D36170,1830,199,191,165
3968,D36171,1842,194,186,167
3969,D36172,1828,173,148,119
3970,D36173,1840,209,202,183
3971,D36174,1840,232,211,181
3972,D36175,1830,229,213,180
3973,D36176,1836,154,132,107
3974,D36177,1841,227,214,186
3975,D36179,1830,202,186,156
3976,D36180,1842,165,169,158
3977,D36181,1830,199,186,158
3978,D36182,1842,150,149,132
3979,D36183,1841,187,174,151
3980,D36184,1843,184,171,142
3981,D36185,1842,213,204,188
3982,D36186,1841,207,190,162
3983,D36187,1840,233,223,205
3984,D36188,1841,206,192,164
3985,D36189,1830,207,199,179
3986,D36190,1840,217,213,196
3987,D36191,1830,210,202,182
3988,D36192,1840,162,172,163
3989,D36193,1830,210,196,164
3990,D36194,1841,228,220,201
3991,D36195,1844,218,207,186
3992,D36197,1844,202,197,179
3993,D36199,1830,155,139,114
3994,D36200,1830,197,175,141
3995,D36201,1841,196,185,163
3996,D36202,1841,188,193,176
3997,D36203,1842,197,186,161
3998,D36204,1843,196,187,163
3999,D36205,1830,206,195,173
4000,D36206,1841,226,203,170
4001,D36207,1830,201,193,171
4002,D36209,1841,206,206,190
4003,D36210,1830,165,161,149
4004,D36211,1841,180,151,112
4005,D36212,1836,188,172,150
4006,D36213,1824,183,168,142
4007,D36214,1830,194,174,149
4008,D36216,1841,218,212,195
4009,D36217,1830,164,157,140
4010,D36218,1843,189,173,146
4011,D36219,1830,191,173,144
4012,D36220,1830,204,186,154
4013,D36221,1830,184,168,140
4014,D36222,1834,192,174,149
4015,D36223,1843,133,105,77
4016,D36224,1843,169,144,111
4017,D36225,1843,209,187,159
4018,D36226,1836,195,186,169
4019,D36227,1830,215,199,175
4020,D36228,1830,147,156,147
4021,D36229,1830,150,126,103
4022,D36230,1836,197,186,166
4023,D36231,1830,227,220,202
4024,D36232,1834,127,95,71
4025,D36233,1830,170,138,105
4026,D36234,1830,183,175,164
4027,D36235,1834,187,138,110
4028,D36236,1836,180,155,125
4029,D36237,1843,216,208,188
4030,D36239,1830,170,155,129
4031,D36240,1836,199,179,147
4032,D36242,1841,217,206,189
4033,D36243,1842,164,152,123
4034,D36244,1844,175,167,142
4035,D36246,1841,193,177,147
4036,D36247,1830,203,188,157
4037,D36248,1830,189,175,144
4038,D36249,1843,204,176,144
4039,D36250,1844,214,208,189
4040,D36252,1844,219,212,191
4041,D36254,1830,218,211,191
4042,D36255,1830,234,230,213
4043,D36257,1843,209,208,190
4044,D36258,1841,186,175,142
4045,D36259,1840,102,84,65
4046,D36260,1830,204,193,165
4047,D36261,1830,99,117,110
4048,D36264,1830,213,209,198
4049,D36266,1830,217,204,180
4050,D36267,1836,194,178,156
4051,D36268,1841,191,177,151
4052,D36269,1830,210,199,179
4053,D36270,1832,213,206,185
4054,D36271,1842,210,204,187
4055,D36272,1842,211,209,194
4056,D36273,1842,208,200,181
4057,D36274,1824,174,157,127
4058,D36275,1830,100,96,84
4059,D36276,1830,135,138,127
4060,D36277,1835,104,116,102
4061,D36278,1830,133,128,110
4062,D36279,1832,116,129,127
4063,D36280,1830,135,140,115
4064,D36281,1830,125,131,124
4065,D36282,1830,144,145,131
4066,D36283,1830,118,125,118
4067,D36284,1830,105,106,93
4068,D36285,1832,137,149,146
4069,D36286,1830,111,111,101
4070,D36287,1835,139,141,126
4071,D36288,1835,118,125,116
4072,D36291,1830,220,213,193
4073,D36292,1826,201,196,181
4074,D36293,1845,219,214,202
4075,D36294,1830,200,193,174
4076,D36295,1830,212,207,192
4077,D36296,1840,218,207,196
4078,D36297,1830,199,191,170
4079,D36298,1830,208,199,177
4080,D36299,1845,220,214,202
4081,D36300,1835,208,198,187
4082,D36301,1845,205,200,190
4083,D36302,1840,209,200,185
4084,D36303,1830,204,199,183
4085,D36304,1830,208,197,171
4086,D36305,1830,210,200,176
4087,D36306,1828,211,203,183
4088,D36307,1845,213,206,198
4089,D36308,1845,216,208,197
4090,D36309,1845,217,212,205
4091,D36310,1843,204,196,183
4092,D36311,1834,238,245,236
4093,D36312,1845,204,197,178
4094,D36314,1837,236,226,204
4095,D36315,1835,208,208,190
4096,D36316,1837,231,225,207
4097,D36317,1820,198,199,188
4098,D36318,1820,196,192,176
4099,D36319,1834,177,165,144
4100,D36320,1830,219,204,185
4101,D36321,1837,214,211,197
4102,D36322,1829,225,218,200
4103,D36323,1834,213,206,187
4104,D36324,1834,129,107,79
4105,D36325,1841,210,199,178
4106,D36326,1834,212,203,181
4107,D36327,1829,207,196,181
4108,D36328,1830,208,199,174
4109,D36329,1829,213,203,180
4110,D36335,,219,204,174
4111,D36336,,224,211,181
4112,D36337,,221,211,188
4113,D36338,,215,192,156
4114,D36343,,192,188,172
4115,D36344,,195,190,171
4116,D36345,,225,220,200
4117,D36346,,209,196,167
4118,D36347,,214,208,189
4119,D36348,,223,216,191
4120,D36349,,212,202,177
4121,D36350,,211,207,184
4122,D36351,,195,192,175
4123,D36352,,192,185,178
4124,D36353,,216,208,185
4125,D36354,,229,211,176
4126,D36355,1796,231,223,200
4127,D36356,1786,190,176,150
4128,D36358,1786,205,190,162
4129,D36359,1786,194,180,154
4130,D36360,1786,196,184,160
4131,D36385,1786,171,158,132
4132,D36401,1786,195,182,157
4133,D36407,1786,159,142,115
4134,D36408,1786,156,139,111
4135,D36411,1786,186,176,154
4136,D36412,1786,194,183,162
4137,D36413,1786,181,167,142
4138,D36414,1794,233,224,208
4139,D36415,1794,233,223,205
4140,D36416,1794,235,225,207
4141,D36417,1794,235,226,208
4142,D36418,1794,236,228,211
4143,D36419,1794,235,224,206
4144,D36420,1794,234,224,205
4145,D36421,1794,39,37,36
4146,D36422,1794,237,227,211
4147,D36423,1794,38,35,34
4148,D36424,1794,38,36,36
4149,D36425,1794,235,227,212
4150,D36426,1794,41,39,38
4151,D36427,1794,41,38,37
4152,D36428,1794,237,229,215
4153,D36429,1794,39,37,36
4154,D36430,1794,235,226,209
4155,D36431,1794,38,36,34
4156,D36432,1794,234,225,209
4157,D36433,1794,234,226,211
4158,D36434,1794,236,227,210
4159,D36435,1794,238,230,216
4160,D36436,1794,40,38,37
4161,D36437,1794,236,227,211
4162,D36438,1794,237,228,214
4163,D36439,1794,235,224,204
4164,D36440,1794,238,230,216
4165,D36441,1794,38,36,35
4166,D36442,1794,236,228,210
4167,D36443,1794,37,35,33
4168,D36444,1794,37,35,33
4169,D36445,1794,38,35,34
4170,D36446,1794,38,36,35
4171,D36447,1794,236,226,208
4172,D36448,1794,236,226,208
4173,D36449,1794,42,40,37
4174,D36450,1794,40,38,36
4175,D36451,1794,236,227,212
4176,D36452,1794,40,38,36
4177,D36453,1794,38,36,35
4178,D36454,1794,236,227,210
4179,D36455,1794,46,44,41
4180,D36456,1794,236,227,211
4181,D36457,1794,39,37,36
4182,D36458,1794,41,39,38
4183,D36459,1794,39,37,36
4184,D36460,1794,236,226,209
4185,D36461,1794,237,227,209
4186,D36462,1794,234,224,206
4187,D36463,1794,41,39,37
4188,D36464,1794,235,225,207
4189,D36465,1794,38,37,35
4190,D36466,1794,37,35,34
4191,D36467,1794,37,35,34
4192,D36468,1794,225,216,199
4193,D36469,1794,38,36,35
4194,D36470,1794,41,39,37
4195,D36471,1794,236,227,209
4196,D36472,1794,40,38,37
4197,D36473,1794,37,35,34
4198,D36474,1794,38,37,36
4199,D36475,1794,38,36,35
4200,D36476,1794,39,37,36
4201,D36477,1794,38,37,36
4202,D36478,1794,228,216,195
4203,D36479,1794,225,215,194
4204,D36480,1794,229,217,195
4205,D36481,1794,229,217,196
4206,D36482,1794,228,216,194
4207,D36483,1794,228,216,195
4208,D36484,1794,229,217,197
4209,D36485,1794,225,214,192
4210,D36486,1794,229,215,189
4211,D36487,1794,231,219,198
4212,D36488,1794,231,218,196
4213,D36489,1794,227,214,194
4214,D36490,1794,228,216,194
4215,D36491,1794,230,218,196
4216,D36492,1794,230,218,196
4217,D36493,1794,231,219,197
4218,D36494,1794,228,214,191
4219,D36495,1794,231,220,198
4220,D36496,1794,229,218,195
4221,D36497,1794,231,218,196
4222,D36498,1794,227,213,188
4223,D36499,1794,229,218,196
4224,D36500,1794,231,218,195
4225,D36501,1795,198,186,160
4226,D36502,1794,229,218,196
4227,D36503,1794,230,216,194
4228,D36504,1794,230,217,194
4229,D36505,1794,225,214,194
4230,D36506,1794,228,217,196
4231,D36507,1794,228,215,191
4232,D36508,1794,231,218,196
4233,D36522,1796,216,204,180
4234,D36523,1796,211,197,166
4235,D36524,1796,228,214,184
4236,D36525,1795,184,177,153
4237,D36526,1796,213,197,166
4238,D36527,1797,210,198,171
4239,D36528,1795,185,171,147
4240,D36529,1796,223,216,195
4241,D36530,1795,199,192,169
4242,D36531,1795,234,225,207
4243,D36532,1798,205,202,179
4244,D36533,1795,190,183,160
4245,D36534,1797,216,209,192
4246,D36535,1795,217,204,182
4247,D36536,1796,221,209,179
4248,D36537,1797,220,214,193
4249,D36538,1797,224,219,199
4250,D36539,1796,212,208,191
4251,D36540,1795,64,67,60
4252,D36541,1796,221,219,200
4253,D36542,1796,236,231,213
4254,D36543,1795,203,200,177
4255,D36544,1795,54,54,49
4256,D36545,1797,204,198,179
4257,D36546,1797,224,222,204
4258,D36547,1798,200,196,178
4259,D36548,1797,216,213,195
4260,D36549,1797,214,216,201
4261,D36550,1797,201,197,182
4262,D36551,1797,205,197,176
4263,D36552,1796,210,202,184
4264,D36553,1796,189,173,144
4265,D36554,1796,215,208,187
4266,D36555,1796,216,212,195
4267,D36556,1797,162,153,131
4268,D36557,1795,215,211,193
4269,D36558,1796,223,217,196
4270,D36559,1796,221,215,193
4271,D36560,1796,215,213,189
4272,D36561,1796,196,197,176
4273,D36562,1795,204,200,184
4274,D36563,1796,71,70,54
4275,D36564,1796,60,53,38
4276,D36565,1796,198,192,173
4277,D36566,1796,186,184,159
4278,D36567,1796,96,91,69
4279,D36568,1796,207,200,178
4280,D36569,1796,230,214,185
4281,D36570,1796,186,172,139
4282,D36601,1797,211,204,183
4283,D36605,1797,198,188,161
4284,D36612,1800,198,184,152
4285,D36616,1795,213,202,179
4286,D36617,1795,224,208,173
4287,D36618,1795,220,211,190
4288,D36619,1795,204,195,176
4289,D36620,1795,204,193,173
4290,D36621,1795,203,195,176
4291,D36622,1795,208,202,185
4292,D36623,1795,204,197,179
4293,D36624,1795,218,207,187
4294,D36625,1798,174,154,116
4295,D36626,1795,200,188,162
4296,D36627,1797,220,214,194
4297,D36628,1796,210,205,181
4298,D36630,1797,189,172,141
4299,D36631,1797,67,59,41
4300,D36633,1797,199,191,166
4301,D36635,1797,172,159,128
4302,D36636,1797,206,193,163
4303,D36637,1797,177,158,124
4304,D36638,1797,184,173,147
4305,D36639,1797,177,168,142
4306,D36640,1797,195,186,160
4307,D36641,1797,164,157,132
4308,D36642,1797,171,154,120
4309,D36643,1797,136,122,93
4310,D36644,1797,162,147,115
4311,D36645,1797,53,52,40
4312,D36646,1797,111,93,65
4313,D36647,1797,177,176,159
4314,D36648,1796,207,200,173
4315,D36649,1777,205,188,143
4316,D36650,,191,183,158
4317,D36651,,183,184,166
4318,D36652,1798,188,177,151
4319,D36654,,222,213,193
