,id,name,artwork_count,gender,artistId,thumbnailUrl
87,89,"Chambers, George",2,Male,89,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/d88d27a25facc80c927a2900bbaaa6e7
88,90,"Chantrey, Sir Francis Legatt",3,Male,90,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/e5798328329fbfc0722ebc6ff859b669
89,91,"Charles, James",7,Male,91,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/363d62d49da744a348b8ccbf82bae74e
90,92,"Chinnery, George",36,Male,92,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/90ec9ac7f4a3b761a9021bda5affb177
91,93,"Churchyard, Thomas",5,Male,93,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6de8d5bfa17b7754b45e5a56c434b96b
92,94,"Chéron, Louis",1,Male,94,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3cbf9fca9e108b092b513f80a3d63d33
93,95,"Clark, Joseph",2,Male,95,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7c3ade454aebabc25e92c48733622f72
94,96,"Clausen, Sir George",17,Male,96,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f2a3a1a33157efea0cad2d7d8619fa15
95,97,"Clint, Alfred",1,Male,97,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9809195b7446110c1e689a0ba55fbf78
96,98,"Clint, George",1,Male,98,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/999b76d988d11ab4e7403d707e510345
97,99,"Cole, George Vicat",2,Male,99,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/416758c5c3ad00513c77815f86d72544
98,100,"Collier, Edward",3,Male,100,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5020d568cc23f43fc75a49af4197244e
99,101,"Collier, The Hon. John",2,Male,101,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/938837924517adde93c6fadd684274cb
100,102,"Collier, Thomas",1,Male,102,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/b3f80bddac390e66a085a69a61dbe403
101,103,"Collins, Charles",1,Male,103,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/e19699e486e15dac2eb7193eed5866cb
102,104,"Collins, Charles Allston",3,Male,104,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/8fcdb44b260f8bbbadf9506c2b9c5ca3
103,105,"Collins, William",18,Male,105,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/47203e599dbbf632bace46ed271b7997
104,106,"Colman, Samuel",3,Male,106,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ebd7b493cc81daedc8060dd3a21c42e0
105,107,"Constable, George",1,Male,107,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5476ae95bb14450c7dd92ccf603a5a65
106,108,"Constable, John",249,Male,108,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/8c5eadb02651cc0ec894e2c05616bce4
107,109,"Constable, Lionel Bicknell",3,Male,109,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/debd05cf6afa771ee9ad34ec1b2f7f7d
108,110,"Cooke, Edward William",5,Male,110,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5ebfa8b36cec33794eaf482a46020071
109,111,"Cooper, Abraham",8,Male,111,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2d821acb545859ff190d90685692f84a
110,112,"Cooper, Thomas Sidney",4,Male,112,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5f04d8ec5db88b6f790aa897c96aef49
111,113,"Copley, John Singleton",7,Male,113,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/97297e7d927d5b6b124386678e6b6c84
112,114,"Corbet, Matthew Ridley",2,Male,114,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c9f40eaa0340cd52fd91d5e8d961be3d
113,115,"Cotes, Francis",5,Male,115,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/b207d8824855f00dbd75668b694b5a53
114,116,"Cotman, John Sell",92,Male,116,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0e8540d3ca67e99e6a234e1324c625ce
115,117,"Cox, David",60,Male,117,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f31dda973b400b3f9176306c94846804
116,118,"Cozens, Alexander",237,Male,118,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6fb66e511989c2757d94ed2d00d1bbeb
117,119,"Cozens, John Robert",16,Male,119,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/4e9b6ee8fb868b09ed58d009ca0b19f5
118,120,"Cranch, John",1,Male,120,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5a6755ea193a5fb9157aff2cfa5756be
119,121,"Crane, Walter",1,Male,121,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2d817abadc449bc5fd19ca25890412e8
120,122,"Creswick, Thomas",2,Male,122,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ee3c3ff3dc8af128ab0796077ee252b5
121,123,"Cristall, Joshua",85,Male,123,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/80a8f55527e00a601666f0c3b9c63cfa
122,125,"Crome, John Berney",1,Male,125,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a7a0e18b93cae302983e5760a79abb39
123,126,"Crome, John",13,Male,126,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/afde48b0c70cfd3b7be4d95cb6d4ee3e
124,127,"Cruikshank, George",2,Male,127,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/1fea38d84c380d1f5249a1ddfdf277d6
125,128,"Cumberland, George",1,Male,128,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/236ca6253722e6303ddb5f97c306a6cc
126,129,"Dadd, Frank",1,Male,129,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/685b3f8faf94b2558e7dfb73f660e87c
127,130,"Dadd, Richard",7,Male,130,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/20281bb71c2293986d2a72b9ff1af53a
128,131,"Dall, Nicholas Thomas",2,Male,131,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5389b72f69d31ca5a66a5640eb953944
129,132,"Dalziel, Edward Gurden",2,Male,132,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6f4929ccd839aa1aab0c6fc70559241e
130,133,"Dalziel, Edward",1,Male,133,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3fb97eb118165eed05896e1958c04eaf
131,134,"Dalziel, Thomas",1,Male,134,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3b7a561ac87cac7684cf2f76b5865237
132,135,"Danby, Francis",7,Male,135,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2c90eb06622330135715375667329ba6
133,136,"Dance-Holland, Sir Nathaniel",169,Male,136,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/09485ebb8755af7e18c9812e29e2af73
134,137,"Daniell, Thomas",5,Male,137,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/8f640b560162832198e63d5d31a6df83
135,138,"Daniell, William",612,Male,138,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/28b9f10e61046455ea88778acec9e9d7
136,139,"Davis, Henry William Banks",3,Male,139,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/8077d87de283af8a16923cd80a262b2d
137,140,"Davis, John Scarlett",104,Male,140,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3fa7321cc3eac4b92b2409fcf5c207a4
138,141,"Davis, William",1,Male,141,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/e739b0255d2ac3007a426e714cadfa01
139,142,"Dawe, George",2,Male,142,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7e27d6dc2c68380715008615a14df89a
140,143,"Dayes, Edward",46,Male,143,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9d0ee1ceacf0b0f99654fb792d431621
141,144,"Delamotte, William Alfred",1,Male,144,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/50d051eb2a5e817cc8ea08bc67310bcf
142,145,"De Loutherbourg, Philip James",91,Male,145,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/26349bf2d7cd1c9c2001b09ca6f4c941
143,146,"Des Granges, David",1,Male,146,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0866e0f5e00517d92d2f1d8f1ca5f185
144,147,"Deverell, Walter Howell",7,Male,147,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0439a9d170ac478f725139dd61125e14
